category,cardNumber,parallel,isAuto,printRun,player
insert-1990-topps-baseball-relics,T90R-AB,Blue,false,150,Alex Bregman
insert-1990-topps-baseball-relics,T90R-AB,Gold,false,50,Alex Bregman
insert-1990-topps-baseball-relics,T90R-AB,Orange,false,25,Alex Bregman
insert-1990-topps-baseball-relics,T90R-AB,Black,false,10,Alex Bregman
insert-1990-topps-baseball-relics,T90R-AB,Red,false,5,Alex Bregman
insert-1990-topps-baseball-relics,T90R-AB,Platinum,false,1,Alex Bregman
insert-1990-topps-baseball-relics,T90R-AJ,Blue,false,150,Aaron Judge
insert-1990-topps-baseball-relics,T90R-AJ,Gold,false,50,Aaron Judge
insert-1990-topps-baseball-relics,T90R-AJ,Orange,false,25,Aaron Judge
insert-1990-topps-baseball-relics,T90R-AJ,Black,false,10,Aaron Judge
insert-1990-topps-baseball-relics,T90R-AJ,Red,false,5,Aaron Judge
insert-1990-topps-baseball-relics,T90R-AJ,Platinum,false,1,Aaron Judge
insert-1990-topps-baseball-relics,T90R-AN,Blue,false,150,Aaron Nola
insert-1990-topps-baseball-relics,T90R-AN,Gold,false,50,Aaron Nola
insert-1990-topps-baseball-relics,T90R-AN,Black,false,10,Aaron Nola
insert-1990-topps-baseball-relics,T90R-AN,Red,false,5,Aaron Nola
insert-1990-topps-baseball-relics,T90R-AN,Platinum,false,1,Aaron Nola
insert-1990-topps-baseball-relics,T90R-AP,Blue,false,150,Albert Pujols
insert-1990-topps-baseball-relics,T90R-AP,Gold,false,50,Albert Pujols
insert-1990-topps-baseball-relics,T90R-AP,Orange,false,25,Albert Pujols
insert-1990-topps-baseball-relics,T90R-AP,Black,false,10,Albert Pujols
insert-1990-topps-baseball-relics,T90R-AP,Red,false,5,Albert Pujols
insert-1990-topps-baseball-relics,T90R-AP,Platinum,false,1,Albert Pujols
insert-1990-topps-baseball-relics,T90R-AR,Blue,false,150,Austin Riley
insert-1990-topps-baseball-relics,T90R-AR,Gold,false,50,Austin Riley
insert-1990-topps-baseball-relics,T90R-AR,Orange,false,25,Austin Riley
