category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-image-variations,BD-1,Facsimile Signature SP,false,,Royce Lewis
insert-rookie-image-variations,BD-25,Facsimile Signature SP,false,,MacKenzie Gore
insert-rookie-image-variations,BD-60,Facsimile Signature SP,false,,Austin Beck
insert-rookie-image-variations,BD-70,Facsimile Signature SP,false,,Anderson Espinoza
insert-rookie-image-variations,BD-80,Facsimile Signature SP,false,,Blake Rutherford
insert-rookie-image-variations,BD-95,Facsimile Signature SP,false,,Jo Adell
insert-rookie-image-variations,BD-100,Facsimile Signature SP,false,,Brendan McKay
insert-rookie-image-variations,BD-115,Facsimile Signature SP,false,,Adam Haseley
insert-rookie-image-variations,BD-120,Facsimile Signature SP,false,,Kyle Wright
insert-rookie-image-variations,BD-135,Facsimile Signature SP,false,,Lazarito Armenteros
insert-rookie-image-variations,BD-140,Facsimile Signature SP,false,,Justus Sheffield
insert-rookie-image-variations,BD-150,Facsimile Signature SP,false,,Vladimir Guerrero Jr.
insert-rookie-image-variations,BD-160,Facsimile Signature SP,false,,Kevin Maitan
insert-rookie-image-variations,BD-195,Facsimile Signature SP,false,,Pavin Smith
