category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-image-variations,1,Carrying Bag Image Variation SP,false,,Shohei Ohtani
insert-rookie-image-variations,8,With Bat Image Variation SP,false,,Rafael Devers
insert-rookie-image-variations,11,Hand On Waist Image Variation SP,false,,Amed Rosario
insert-rookie-image-variations,21,Shorts Image Variation SP,false,,Clint Frazier
insert-rookie-image-variations,25,Cap Image Variation SP,false,,Rhys Hoskins
insert-rookie-image-variations,33,Catcher's Gear Image Variation SP,false,,Francisco Mejia
insert-rookie-image-variations,35,Gray Jersey Image Variation SP,false,,Nick Williams
insert-rookie-image-variations,44,With Ball Image Variation SP,false,,Dominic Smith
insert-rookie-image-variations,47,Facing Forward Image Variation SP,false,,Alex Verdugo
insert-rookie-image-variations,52,White Shirt Image Variation SP,false,,Victor Robles
insert-rookie-image-variations,65,Running Image Variation SP,false,,J.P. Crawford
insert-rookie-image-variations,68,Arms Raised Image Variation SP,false,,Harrison Bader
insert-rookie-image-variations,72,Batting Image Variation SP,false,,Jack Flaherty
insert-rookie-image-variations,87,No Helmet Image Variation SP,false,,Austin Hays
insert-rookie-image-variations,92,Warm-Up Shirt Image Variation SP,false,,Ozzie Albies
