category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-image-variations,BDC-1,White Jersey Image Variation SP,false,,Casey Mize
insert-rookie-image-variations,BDC-3,Hand In Glove Image Variation SP,false,,Brusdar Graterol
insert-rookie-image-variations,BDC-6,Gray Jersey Image Variation SP,false,,Jarred Kelenic
insert-rookie-image-variations,BDC-20,&#8216;new York' Visible On Jersey Image Variation SP,false,,Trevor Stephan
insert-rookie-image-variations,BDC-25,Running Image Variation SP,false,,Alec Bohm
insert-rookie-image-variations,BDC-32,Fielding Image Variation SP,false,,Bo Bichette
insert-rookie-image-variations,BDC-38,Fielding Image Variation SP,false,,Nick Madrigal
insert-rookie-image-variations,BDC-72,Ball Visible Image Variation SP,false,,Aramis Ademan
insert-rookie-image-variations,BDC-87,Both Feet Down Image Variation SP,false,,Royce Lewis
insert-rookie-image-variations,BDC-93,No Helmet Image Variation SP,false,,Carter Kieboom
insert-rookie-image-variations,BDC-112,Running Image Variation SP,false,,Jonathan India
insert-rookie-image-variations,BDC-135,Fist Pump Image Variation SP,false,,Brady Singer
insert-rookie-image-variations,BDC-182,White Jersey Image Variation SP,false,,Ryan Weathers
insert-rookie-image-variations,BDC-198,Tipping Helmet Image Variation SP,false,,Travis Swaggerty
