category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-image-variations,1,Rookie Image Variation,false,,Shohei Ohtani
auto-rookie-image-variations,1,Rookie Image Variation,true,,Shohei Ohtani
insert-rookie-image-variations,8,Rookie Image Variation,false,,Rafael Devers
auto-rookie-image-variations,8,Rookie Image Variation,true,,Rafael Devers
insert-rookie-image-variations,11,Rookie Image Variation,false,,Amed Rosario
auto-rookie-image-variations,11,Rookie Image Variation,true,,Amed Rosario
insert-rookie-image-variations,21,Rookie Image Variation,false,,Clint Frazier
auto-rookie-image-variations,21,Rookie Image Variation,true,,Clint Frazier
insert-rookie-image-variations,25,Rookie Image Variation,false,,Rhys Hoskins
auto-rookie-image-variations,25,Rookie Image Variation,true,,Rhys Hoskins
insert-rookie-image-variations,33,Rookie Image Variation,false,,Francisco Mejia
auto-rookie-image-variations,33,Rookie Image Variation,true,,Francisco Mejia
insert-rookie-image-variations,35,Rookie Image Variation,false,,Nick Williams
insert-rookie-image-variations,44,Rookie Image Variation,false,,Dominic Smith
auto-rookie-image-variations,44,Rookie Image Variation,true,,Dominic Smith
insert-rookie-image-variations,47,Rookie Image Variation,false,,Alex Verdugo
insert-rookie-image-variations,52,Rookie Image Variation,false,,Victor Robles
auto-rookie-image-variations,52,Rookie Image Variation,true,,Victor Robles
insert-rookie-image-variations,65,Rookie Image Variation,false,,J.P. Crawford
auto-rookie-image-variations,65,Rookie Image Variation,true,,J.P. Crawford
insert-rookie-image-variations,68,Rookie Image Variation,false,,Harrison Bader
auto-rookie-image-variations,68,Rookie Image Variation,true,,Harrison Bader
insert-rookie-image-variations,72,Rookie Image Variation,false,,Jack Flaherty
auto-rookie-image-variations,72,Rookie Image Variation,true,,Jack Flaherty
insert-rookie-image-variations,87,Rookie Image Variation,false,,Austin Hays
auto-rookie-image-variations,87,Rookie Image Variation,true,,Austin Hays
insert-rookie-image-variations,92,Rookie Image Variation,false,,Ozzie Albies
auto-rookie-image-variations,92,Rookie Image Variation,true,,Ozzie Albies
