category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-image-variations,1,Bat In Front Image Variation SP,false,,Kris Bryant
insert-rookie-image-variations,2,Sunglasses Image Variation SP,false,,Rafael Devers
insert-rookie-image-variations,23,Hands On Hips Image Variation SP,false,,Clayton Kershaw
insert-rookie-image-variations,32,Catching Ball Image Variation SP,false,,Cody Bellinger
insert-rookie-image-variations,34,Bag On Shoulder Image Variation SP,false,,Shohei Ohtani
insert-rookie-image-variations,49,Cap Image Variation SP,false,,Mike Trout
insert-rookie-image-variations,54,With Glove Image Variation SP,false,,Jose Altuve
insert-rookie-image-variations,80,T-Shirt Image Variation SP,false,,Francisco Lindor
insert-rookie-image-variations,86,Bat On Shoulder Image Variation SP,false,,Aaron Judge
insert-rookie-image-variations,100,Knee Up Image Variation SP,false,,Bryce Harper
