category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-image-variations,1,Handing Back Card Image Variation SP,false,,Aaron Judge
insert-rookie-image-variations,8,Spraying Bat Image Variation SP,false,,Josh Donaldson
insert-rookie-image-variations,25,Walking Out Of Dugout Image Variation SP,false,,Rafael Devers
insert-rookie-image-variations,29,Waving Image Variation SP,false,,Buster Posey
insert-rookie-image-variations,49,Jacket Image Variation SP,false,,Anthony Rizzo
insert-rookie-image-variations,50,Signing Autographs Image Variation SP,false,,Kris Bryant
insert-rookie-image-variations,52,Throwing Cap Image Variation SP,false,,Robinson Cano
insert-rookie-image-variations,60,Pen Image Variation SP,false,,Amed Rosario
insert-rookie-image-variations,70,In Dugout Image Variation SP,false,,Rhys Hoskins
insert-rookie-image-variations,72,Headset Image Variation SP,false,,Ozzie Albies
insert-rookie-image-variations,73,Sitting In Dugout Image Variation SP,false,,Francisco Lindor
insert-rookie-image-variations,94,Cap Backwards Image Variation SP,false,,Manny Machado
insert-rookie-image-variations,99,Toque Image Variation SP,false,,Noah Syndergaard
insert-rookie-image-variations,100,Signing Autograph Image Variation SP,false,,Mike Trout
insert-rookie-image-variations,121,Blowing Bubble Image Variation SP,false,,Clayton Kershaw
insert-rookie-image-variations,139,Cap Backwards Image Variation SP,false,,Bryce Harper
insert-rookie-image-variations,147,Sunglasses Image Variation SP,false,,Nick Williams
insert-rookie-image-variations,148,Hands On Hair Image Variation SP,false,,Clint Frazier
insert-rookie-image-variations,150,Running Image Variation SP,false,,Shohei Ohtani
insert-rookie-image-variations,151,Sunglasses Image Variation SP,false,,Andrew Benintendi
insert-rookie-image-variations,162,Thumbs Up Image Variation SP,false,,Dominic Smith
insert-rookie-image-variations,167,Leaning On Fence Image Variation SP,false,,Alex Verdugo
insert-rookie-image-variations,175,Sliding Image Variation SP,false,,Victor Robles
insert-rookie-image-variations,186,Warm-Up Jersey Image Variation SP,false,,Giancarlo Stanton
insert-rookie-image-variations,200,Cap Image Variation SP,false,,Jose Altuve
