category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-image-variations,BDC-1,Throwing Image Variation SP,false,,Adley Rutschman
insert-rookie-image-variations,BDC-3,Tipping Cap Image Variation SP,false,,Alek Manoah
insert-rookie-image-variations,BDC-7,No Helmet Image Variation SP,false,,Josh Jung
insert-rookie-image-variations,BDC-31,Running Image Variation SP,false,,Hunter Bishop
insert-rookie-image-variations,BDC-50,Running Image Variation SP,false,,Riley Greene
insert-rookie-image-variations,BDC-67,Throwing Image Variation SP,false,,Shea Langeliers
insert-rookie-image-variations,BDC-85,Batting Image Variation SP,false,,CJ Abrams
insert-rookie-image-variations,BDC-88,With Bat Image Variation SP,false,,Victor Victor Mesa
insert-rookie-image-variations,BDC-93,Batting Image Variation SP,false,,Wander Franco
insert-rookie-image-variations,BDC-100,Ball Visible Image Variation SP,false,,Andrew Vaughn
insert-rookie-image-variations,BDC-134,With Bat Image Variation SP,false,,Joey Bart
insert-rookie-image-variations,BDC-150,Running Image Variation SP,false,,J.J. Bleday
insert-rookie-image-variations,BDC-189,Ball In Front Image Variation SP,false,,Nick Lodolo
insert-rookie-image-variations,BDC-192,Fielding Image Variation SP,false,,Seth Beer
