category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-image-variations,1,Helmet Image Variation SP,false,,Mike Trout
insert-rookie-image-variations,2,Running Image Variation SP,false,,Shohei Ohtani
insert-rookie-image-variations,9,Blue Warm-Up Jersey Image Variation SP,false,,Alex Bregman
insert-rookie-image-variations,18,Fielding Glove Image Variation SP,false,,Ronald Acuna Jr.
insert-rookie-image-variations,22,With Bat Image Variation SP,false,,Christian Yelich
insert-rookie-image-variations,48,Shorts Image Variation SP,false,,Yusei Kikuchi
insert-rookie-image-variations,56,Pointing Image Variation SP,false,,Juan Soto
insert-rookie-image-variations,63,Tipping Cap Image Variation SP,false,,Rhys Hoskins
insert-rookie-image-variations,74,Gatorade Shower Image Variation SP,false,,Mookie Betts
insert-rookie-image-variations,97,Flexing Arm Image Variation SP,false,,Gleyber Torres
