category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-image-variations,BD-12,White Jersey Image Variation SP,false,,Emerson Hancock
insert-rookie-image-variations,BD-34,Gray Jersey Image Variation SP,false,,Austin Hendrick
insert-rookie-image-variations,BD-39,Camo Jersey Image Variation SP,false,,Robert Hassell
insert-rookie-image-variations,BD-41,White Jersey Image Variation SP,false,,Reid Detmers
insert-rookie-image-variations,BD-81,Running Image Variation SP,false,,Nick Gonzales
insert-rookie-image-variations,BD-88,Gray Jersey Image Variation SP,false,,Asa Lacy
insert-rookie-image-variations,BD-107,Bat Behind Helmet Image Variation SP,false,,Zac Veen
insert-rookie-image-variations,BD-121,With Glove Image Variation SP,false,,Spencer Torkelson
insert-rookie-image-variations,BD-122,Fielding Image Variation SP,false,,Heston Kjerstad
insert-rookie-image-variations,BD-146,Batting Image Variation SP,false,,Patrick Bailey
insert-rookie-image-variations,BD-151,Running Image Variation SP,false,,Jasson Dominguez
insert-rookie-image-variations,BD-152,Throwing Image Variation SP,false,,Bobby Witt Jr.
insert-rookie-image-variations,BD-153,Batting Image Variation SP,false,,Andrew Vaughn
insert-rookie-image-variations,BD-154,With Bat Image Variation SP,false,,Adley Rutschman
insert-rookie-image-variations,BD-155,No Ball Image Variation SP,false,,Robert Puason
