category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-image-variations,BD-6,Helmet Image Variation SP,false,,Gavin Cross
insert-rookie-image-variations,BD-15,Clapping Image Variation SP,false,,Jace Jung
insert-rookie-image-variations,BD-19,Throwing Image Variation SP,false,,Bryan Acuña
insert-rookie-image-variations,BD-23,Glove And Cap Image Variation SP,false,,Elijah Green
insert-rookie-image-variations,BD-47,Crouching Image Variation SP,false,,Kevin Parada
insert-rookie-image-variations,BD-51,Peace Sign Image Variation SP,false,,Oscar Colas
insert-rookie-image-variations,BD-63,Helmet Image Variation SP,false,,Samuel Munoz
insert-rookie-image-variations,BD-64,Swinging Image Variation SP,false,,Cristhian Vaquero
insert-rookie-image-variations,BD-79,Pointing Image Variation SP,false,,Roderick Arias
insert-rookie-image-variations,BD-80,Throwing Image Variation SP,false,,Elly De La Cruz
insert-rookie-image-variations,BD-115,Bag On Shoulder Image Variation SP,false,,Jackson Chourio
insert-rookie-image-variations,BD-130,Bat On Shoulder Image Variation SP,false,,Termarr Johnson
insert-rookie-image-variations,BD-153,Bat Image Variation SP,false,,Brooks Lee
insert-rookie-image-variations,BD-164,Blue Jersey Image Variation SP,false,,Kumar Rocker
insert-rookie-image-variations,BD-168,Black Jersey Image Variation SP,false,,Jackson Holliday
