category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-image-variations,1,Helmet Image Variation SP,false,,Shohei Ohtani
insert-rookie-image-variations,2,With Glove Image Variation SP,false,,Derek Jeter
insert-rookie-image-variations,3,Turned To Side Image Variation SP,false,,Babe Ruth
insert-rookie-image-variations,21,No Teeth Showing Image Variation SP,false,,Roberto Clemente
insert-rookie-image-variations,24,Ball Image Variation SP,false,,Willie Mays
insert-rookie-image-variations,35,Helmet Image Variation SP,false,,Wander Franco
insert-rookie-image-variations,37,Pinstripe Jersey Image Variation SP,false,,Seiya Suzuki
insert-rookie-image-variations,42,Forehead Not Visible Image Variation SP,false,,Jackie Robinson
insert-rookie-image-variations,44,Atlanta Braves Image Variation SP,false,,Hank Aaron
insert-rookie-image-variations,50,Helmet Image Variation SP,false,,Mike Trout
insert-rookie-image-variations,61,With Glove Image Variation SP,false,,Bobby Witt Jr.
insert-rookie-image-variations,77,Turned To Side Image Variation SP,false,,Hunter Greene
insert-rookie-image-variations,89,No Bat Image Variation SP,false,,Ted Williams
insert-rookie-image-variations,100,Helmet Image Variation SP,false,,Fernando Tatis Jr.
insert-rookie-image-variations,150,Looking Up Image Variation SP,false,,Vladimir Guerrero Jr.
insert-rookie-image-variations,171,Helmet Image Variation SP,false,,Julio Rodriguez
insert-rookie-image-variations,200,Gray Jersey Image Variation SP,false,,Aaron Judge
insert-rookie-image-variations,219,Red Jersey Image Variation SP,false,,Jarren Duran
insert-rookie-image-variations,250,Gray Jersey Image Variation SP,false,,Ronald Acuña Jr.
insert-rookie-image-variations,273,With Bat Image Variation SP,false,,Oneil Cruz
insert-rookie-image-variations,300,Red Jersey Image Variation SP,false,,Juan Soto
insert-rookie-image-variations,350,Sunglasses On Cap Image Variation SP,false,,Mookie Betts
insert-rookie-image-variations,400,With Bat Image Variation SP,false,,Bryce Harper
insert-rookie-image-variations,450,No Bat Image Variation SP,false,,Ken Griffey Jr.
insert-rookie-image-variations,457,Turned To Side Image Variation SP,false,,Spencer Torkelson
