category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-image-variations,5,Taking Off Helmet Image Variation SP,false,,Corbin Carroll
insert-rookie-image-variations,10,Chain In Dugout Image Variation SP,false,,Gunnar Henderson
insert-rookie-image-variations,15,Black Jersey Image Variation SP,false,,Brett Baty
insert-rookie-image-variations,17,Bending Over Image Variation SP,false,,Adley Rutschman
insert-rookie-image-variations,23,Batting Image Variation SP,false,,Ezequiel Tovar
insert-rookie-image-variations,29,Pinstripe Throwback Jersey Image Variation SP,false,,Riley Greene
insert-rookie-image-variations,31,Red Shirt Image Variation SP,false,,Michael Harris II
insert-rookie-image-variations,32,Long-Sleeve Shirt Image Variation SP,false,,Triston Casas
insert-rookie-image-variations,35,Catcher's Gear Image Variation SP,false,,Francisco Álvarez
insert-rookie-image-variations,40,Long-Sleeve Shirt Image Variation SP,false,,Miguel Vargas
insert-rookie-image-variations,44,Fielding Image Variation SP,false,,Oswald Peraza
insert-rookie-image-variations,48,Camouflage Cap Image Variation SP,false,,Nolan Gorman
insert-rookie-image-variations,71,In Corn Field Image Variation SP,false,,Christopher Morel
insert-rookie-image-variations,75,Autographing Jersey Image Variation SP,false,,Masataka Yoshida
insert-rookie-image-variations,77,Press Conference Image Variation SP,false,,Kodai Senga
