category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-image-variations,BCP-3,Pointing At Cap Image Variation SP,false,,Justin Crawford
insert-rookie-image-variations,BCP-18,With Bag Image Variation SP,false,,Jasson Domínguez
insert-rookie-image-variations,BCP-20,Signing Autograph Image Variation SP,false,,Jackson Holliday
insert-rookie-image-variations,BCP-25,Throwing Out First Pitch Image Variation SP,false,,Druw Jones
insert-rookie-image-variations,BCP-31,White Jersey Image Variation SP,false,,Brooks Lee
insert-rookie-image-variations,BCP-37,Sunglasses Image Variation SP,false,,Bryan Acuña
insert-rookie-image-variations,BCP-65,Sitting In Dugout Image Variation SP,false,,Elly De La Cruz
insert-rookie-image-variations,BCP-76,With Football Image Variation SP,false,,Jackson Chourio
insert-rookie-image-variations,BCP-88,With Fielding Glove Image Variation SP,false,,Termarr Johnson
insert-rookie-image-variations,BCP-107,With Bat Image Variation SP,false,,Marcelo Mayer
insert-rookie-image-variations,BCP-108,Sunglasses Image Variation SP,false,,Jacob Berry
insert-rookie-image-variations,BCP-125,Fielding Image Variation SP,false,,Cam Collier
insert-rookie-image-variations,BCP-135,Ball Visible Image Variation SP,false,,Roderick Arias
