category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-image-variations,1,Image Variation SP,false,,Adley Rutschman
insert-rookie-image-variations,1,Image Variation SSP,false,,Adley Rutschman
insert-rookie-image-variations,2,Image Variation SP,false,,Gunnar Henderson
insert-rookie-image-variations,2,Image Variation SSP,false,,Gunnar Henderson
insert-rookie-image-variations,3,Image Variation SP,false,,Bryce Harper
insert-rookie-image-variations,17,Image Variation SP,false,,Shohei Ohtani
insert-rookie-image-variations,27,Image Variation SP,false,,Mike Trout
insert-rookie-image-variations,50,Image Variation SP,false,,Vladimir Guerrero Jr.
insert-rookie-image-variations,62,Image Variation SP,false,,Aaron Judge
insert-rookie-image-variations,79,Image Variation SP,false,,Michael Harris II
insert-rookie-image-variations,93,Image Variation SP,false,,Josh Jung
insert-rookie-image-variations,95,Image Variation SP,false,,Corbin Carroll
insert-rookie-image-variations,95,Image Variation SSP,false,,Corbin Carroll
insert-rookie-image-variations,100,Image Variation SP,false,,Juan Soto
insert-rookie-image-variations,106,Image Variation SP,false,,Ezequiel Tovar
insert-rookie-image-variations,132,Image Variation SP,false,,Oswald Peraza
insert-rookie-image-variations,150,Image Variation SP,false,,Mookie Betts
insert-rookie-image-variations,174,Image Variation SP,false,,Triston Casas
insert-rookie-image-variations,182,Image Variation SP,false,,Riley Greene
insert-rookie-image-variations,182,Image Variation SSP,false,,Riley Greene
insert-rookie-image-variations,189,Image Variation SP,false,,Gabriel Moreno
insert-rookie-image-variations,200,Image Variation SP,false,,Julio Rodríguez
insert-rookie-image-variations,203,Image Variation SP,false,,Francisco Álvarez
insert-rookie-image-variations,203,Image Variation SSP,false,,Francisco Álvarez
insert-rookie-image-variations,204,Image Variation SP,false,,Brett Baty
