category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-image-variations,2,Blue Hoodie Image Variation SP,false,,Brett Baty
insert-rookie-image-variations,100,Grey Jersey Image Variation SP,false,,Anthony Volpe
insert-rookie-image-variations,110,Bat Image Variation SP,false,,Francisco Alvarez
insert-rookie-image-variations,133,Blue Jersey Image Variation SP,false,,Josh Jung
insert-rookie-image-variations,175,No Cap Image Variation SP,false,,Triston Casas
insert-rookie-image-variations,218,Helmet Image Variation SP,false,,Mookie Betts
insert-rookie-image-variations,312,Bat Image Variation SP,false,,Babe Ruth
insert-rookie-image-variations,337,Sunglasses Image Variation SP,false,,Bryce Harper
insert-rookie-image-variations,345,Helmet Image Variation SP,false,,Julio Rodríguez
insert-rookie-image-variations,346,Bat Image Variation SP,false,,Juan Soto
insert-rookie-image-variations,396,Warmup Jersey Image Variation SP,false,,Derek Jeter
insert-rookie-image-variations,421,Black Cap Image Variation SP,false,,Roberto Clemente
insert-rookie-image-variations,426,No Undershirt Image Variation SP,false,,Jackie Robinson
insert-rookie-image-variations,432,Striped Jersey Image Variation SP,false,,Hank Aaron
