category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-image-variations,USC1,Headset Image Variation SP,false,,Adley Rutschman
insert-rookie-image-variations,USC10,Blue Shirt Image Variation SP,false,,Brett Baty
insert-rookie-image-variations,USC16,Towel On Shoulder Image Variation SP,false,,Grayson Rodriguez
insert-rookie-image-variations,USC35,Bat Under Arm Image Variation SP,false,,Anthony Volpe
insert-rookie-image-variations,USC50,Blue Jersey Image Variation SP,false,,Jacob deGrom
insert-rookie-image-variations,USC78,Waving Image Variation SP,false,,Cody Bellinger
insert-rookie-image-variations,USC103,Catcher's Helmet Image Variation SP,false,,Francisco Alvarez
insert-rookie-image-variations,USC116,Dark Blue Shirt Image Variation SP,false,,Carlos Rodón
insert-rookie-image-variations,USC119,Gatorade Bath Image Variation SP,false,,Brice Turang
insert-rookie-image-variations,USC124,Blue Hoodie Image Variation SP,false,,Kodai Senga
insert-rookie-image-variations,USC125,Yelling Image Variation SP,false,,Triston Casas
insert-rookie-image-variations,USC128,Beanie Image Variation SP,false,,Riley Greene
insert-rookie-image-variations,USC150,Fielding Glove Image Variation SP,false,,Jordan Walker
insert-rookie-image-variations,USC153,Looking At Baseball Card Image Variation SP,false,,Michael Harris II
insert-rookie-image-variations,USC168,Diamondbacks Image Variation SP,false,,Gabriel Moreno
insert-rookie-image-variations,USC174,Stretching Image Variation SP,false,,Masataka Yoshida
insert-rookie-image-variations,USC208,Black Shirt Image Variation SP,false,,Gunnar Henderson
insert-rookie-image-variations,USC209,Light Blue Jersey Image Variation SP,false,,Taj Bradley
insert-rookie-image-variations,USC215,Beanie Image Variation SP,false,,Oscar Colás
insert-rookie-image-variations,USC220,Helmet Image Variation SP,false,,Corbin Carroll
