category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-image-variations,5,Lifting Weight Image Variation SP,false,,Ceddanne Rafaela
insert-rookie-image-variations,27,Sunglasses Image Variation SP,false,,Jackson Merrill
insert-rookie-image-variations,34,Throwing Image Variation SP,false,,Colt Keith
insert-rookie-image-variations,41,Jacket Image Variation SP,false,,Shota Imanaga
insert-rookie-image-variations,45,White Pinstripe Jersey Image Variation SP,false,,Pete Crow-Armstrong
insert-rookie-image-variations,67,T-Shit Image Variation SP,false,,Jung Hoo Lee
insert-rookie-image-variations,69,Blue Jersey Image Variation SP,false,,Jackson Chourio
insert-rookie-image-variations,71,Standing At Fence Image Variation SP,false,,Wyatt Langford
insert-rookie-image-variations,73,Thumb Up Image Variation SP,false,,Yoshinobu Yamamoto
insert-rookie-image-variations,BCP-169,Bunting Image Variation SP,false,,Francisco Vilorio
insert-rookie-image-variations,BCP-179,Bag On Shoulder Image Variation SP,false,,Leo De Vries
insert-rookie-image-variations,BCP-191,Helmet Image Variation SP,false,,Adriel Radney
insert-rookie-image-variations,BCP-195,Sunglasses Image Variation SP,false,,Max Clark
insert-rookie-image-variations,BCP-197,Throwing Image Variation SP,false,,Fernando Cruz
insert-rookie-image-variations,BCP-205,Yellow Shirt Image Variation SP,false,,Jacob Wilson
insert-rookie-image-variations,BCP-213,Sunglasses Image Variation SP,false,,Aidan Miller
insert-rookie-image-variations,BCP-216,White Jersey Image Variation SP,false,,James Wood
insert-rookie-image-variations,BCP-220,No Bat Image Variation SP,false,,Jose Perdomo
insert-rookie-image-variations,BCP-223,Bunting Image Variation SP,false,,Victor Hurtado
insert-rookie-image-variations,BCP-245,Bat At Side Image Variation SP,false,,Paulino Santana
insert-rookie-image-variations,BCP-252,No Sunglasses Image Variation SP,false,,Adolfo Sanchez
