category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Pikachu
base,2,Base,false,,Electabuzz
base,3,Base,false,,Mewtwo
base,4,Base,false,,Pikachu
base,5,Base,false,,Dragonite
base,6,Base,false,,Arcanine
base,7,Base,false,,Jigglypuff
base,8,Base,false,,Mew
base,9,Base,false,,Mew
base,10,Base,false,,Meowth
base,11,Base,false,,Eevee
base,12,Base,false,,Mewtwo
base,13,Base,false,,Venusaur
base,14,Base,false,,Mewtwo
base,15,Base,false,,Cool Porygon
base,16,Base,false,,Computer Error
base,17,Base,false,,Dark Persian
base,18,Base,false,,Team Rocket's Meowth
base,19,Base,false,,Sabrina's Abra
base,20,Base,false,,Psyduck
base,21,Base,false,,Moltres
base,22,Base,false,,Articuno
base,23,Base,false,,Zapdos
base,24,Base,false,,___________'s Pikachu
base,25,Base,false,,Flying Pikachu
base,26,Base,false,,Pikachu
base,27,Base,false,,Pikachu
base,28,Base,false,,Surfing Pikachu
base,29,Base,false,,Marill
base,30,Base,false,,Togepi
base,31,Base,false,,Cleffa
base,32,Base,false,,Smeargle
base,33,Base,false,,Scizor
base,34,Base,false,,Entei
base,35,Base,false,,Pichu
base,36,Base,false,,Igglybuff
base,37,Base,false,,Hitmontop
base,38,Base,false,,Unown [J]
base,39,Base,false,,Misdreavus
base,40,Base,false,,Pokémon Center
base,41,Base,false,,Lucky Stadium
base,42,Base,false,,Pokémon Tower
base,43,Base,false,,Machamp
base,44,Base,false,,Magmar
base,45,Base,false,,Scyther
base,46,Base,false,,Electabuzz
base,47,Base,false,,Mew
base,48,Base,false,,Articuno
base,49,Base,false,,Snorlax
base,50,Base,false,,Celebi
base,51,Base,false,,Rapidash
base,52,Base,false,,Ho-oh
base,53,Base,false,,Suicune
