category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Espeon
base,2,Base,false,,Forretress
base,3,Base,false,,Hitmontop
base,4,Base,false,,Houndoom
base,5,Base,false,,Houndour
base,6,Base,false,,Kabutops
base,7,Base,false,,Magnemite
base,8,Base,false,,Politoed
base,9,Base,false,,Poliwrath
base,10,Base,false,,Scizor
base,11,Base,false,,Smeargle
base,12,Base,false,,Tyranitar
base,13,Base,false,,Umbreon
base,14,Base,false,,Unown [A]
base,15,Base,false,,Ursaring
base,16,Base,false,,Wobbuffet
base,17,Base,false,,Yanma
base,18,Base,false,,Beedrill
base,19,Base,false,,Butterfree
base,20,Base,false,,Espeon
base,21,Base,false,,Forretress
base,22,Base,false,,Hitmontop
base,23,Base,false,,Houndoom
base,24,Base,false,,Houndour
base,25,Base,false,,Kabutops
base,26,Base,false,,Magnemite
base,27,Base,false,,Politoed
base,28,Base,false,,Poliwrath
base,29,Base,false,,Scizor
base,30,Base,false,,Smeargle
base,31,Base,false,,Tyranitar
base,32,Base,false,,Umbreon
base,33,Base,false,,Unown [A]
base,34,Base,false,,Ursaring
base,35,Base,false,,Wobbuffet
base,36,Base,false,,Yanma
base,37,Base,false,,Corsola
base,38,Base,false,,Eevee
base,39,Base,false,,Houndour
base,40,Base,false,,Igglybuff
base,41,Base,false,,Kakuna
base,42,Base,false,,Metapod
base,43,Base,false,,Omastar
base,44,Base,false,,Poliwhirl
base,45,Base,false,,Pupitar
base,46,Base,false,,Scyther
base,47,Base,false,,Unown [D]
base,48,Base,false,,Unown [F]
base,49,Base,false,,Unown [M]
base,50,Base,false,,Unown [N]
base,51,Base,false,,Unown [U]
base,52,Base,false,,Xatu
base,53,Base,false,,Caterpie
base,54,Base,false,,Dunsparce
base,55,Base,false,,Hoppip
base,56,Base,false,,Kabuto
base,57,Base,false,,Larvitar
base,58,Base,false,,Mareep
base,59,Base,false,,Natu
base,60,Base,false,,Omanyte
base,61,Base,false,,Pineco
base,62,Base,false,,Poliwag
base,63,Base,false,,Sentret
base,64,Base,false,,Spinarak
base,65,Base,false,,Teddiursa
base,66,Base,false,,Tyrogue
base,67,Base,false,,Unown [E]
base,68,Base,false,,Unown [I]
base,69,Base,false,,Unown [O]
base,70,Base,false,,Weedle
base,71,Base,false,,Wooper
base,72,Base,false,,Fossil Egg
base,73,Base,false,,Hyper Devolution Spray
base,74,Base,false,,Ruin Wall
base,75,Base,false,,Energy Ark
