category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Mew
base,2,Base,false,,Pidgeot
base,3,Base,false,,Onix
base,4,Base,false,,Togepi
base,5,Base,false,,Ivysaur
base,6,Base,false,,Raticate
base,7,Base,false,,Ledyba
base,8,Base,false,,Jigglypuff
base,9,Base,false,,Butterfree
base,10,Base,false,,Tentacruel
base,11,Base,false,,Marill
base,12,Base,false,,Lapras
base,13,Base,false,,Exeggutor
base,14,Base,false,,Slowking
base,15,Base,false,,Wartortle
base,16,Base,false,,Lickitung
base,17,Base,false,,Vileplume
base,18,Base,false,,Primeape
