category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Alakazam
base,2,Base,false,,Articuno
base,3,Base,false,,Charizard
base,4,Base,false,,Dark Blastoise
base,5,Base,false,,Dark Dragonite
base,6,Base,false,,Dark Persian
base,7,Base,false,,Dark Raichu
base,8,Base,false,,Dark Slowbro
base,9,Base,false,,Dark Vaporeon
base,10,Base,false,,Flareon
base,11,Base,false,,Gengar
base,12,Base,false,,Gyarados
base,13,Base,false,,Hitmonlee
base,14,Base,false,,Jolteon
base,15,Base,false,,Machamp
base,16,Base,false,,Muk
base,17,Base,false,,Ninetales
base,18,Base,false,,Venusaur
base,19,Base,false,,Zapdos
base,20,Base,false,,Beedrill
base,21,Base,false,,Butterfree
base,22,Base,false,,Electrode
base,23,Base,false,,Exeggutor
base,24,Base,false,,Golem
base,25,Base,false,,Hypno
base,26,Base,false,,Jynx
base,27,Base,false,,Kabutops
base,28,Base,false,,Magneton
base,29,Base,false,,Mewtwo
base,30,Base,false,,Moltres
base,31,Base,false,,Nidoking
base,32,Base,false,,Nidoqueen
base,33,Base,false,,Pidgeot
base,34,Base,false,,Pidgeotto
base,35,Base,false,,Rhydon
base,36,Base,false,,Arcanine
base,37,Base,false,,Charmeleon
base,38,Base,false,,Dark Dragonair
base,39,Base,false,,Dark Wartortle
base,40,Base,false,,Dewgong
base,41,Base,false,,Dodrio
base,42,Base,false,,Fearow
base,43,Base,false,,Golduck
base,44,Base,false,,Graveler
base,45,Base,false,,Growlithe
base,46,Base,false,,Haunter
base,47,Base,false,,Ivysaur
base,48,Base,false,,Kabuto
base,49,Base,false,,Kadabra
base,50,Base,false,,Kakuna
base,51,Base,false,,Machoke
base,52,Base,false,,Magikarp
base,53,Base,false,,Meowth
base,54,Base,false,,Metapod
base,55,Base,false,,Nidorina
base,56,Base,false,,Nidorino
base,57,Base,false,,Omanyte
base,58,Base,false,,Omastar
base,59,Base,false,,Primeape
base,60,Base,false,,Rapidash
base,61,Base,false,,Raticate
base,62,Base,false,,Sandslash
base,63,Base,false,,Seadra
base,64,Base,false,,Snorlax
base,65,Base,false,,Tauros
base,66,Base,false,,Tentacruel
base,67,Base,false,,Abra
base,68,Base,false,,Bulbasaur
base,69,Base,false,,Caterpie
base,70,Base,false,,Charmander
base,71,Base,false,,Doduo
base,72,Base,false,,Dratini
base,73,Base,false,,Drowzee
base,74,Base,false,,Eevee
base,75,Base,false,,Exeggcute
base,76,Base,false,,Gastly
base,77,Base,false,,Geodude
base,78,Base,false,,Grimer
base,79,Base,false,,Machop
base,80,Base,false,,Magnemite
base,81,Base,false,,Mankey
base,82,Base,false,,Nidoran♀
base,83,Base,false,,Nidoran♂
base,84,Base,false,,Onix
base,85,Base,false,,Pidgey
base,86,Base,false,,Pikachu
base,87,Base,false,,Ponyta
base,88,Base,false,,Psyduck
base,89,Base,false,,Rattata
base,90,Base,false,,Rhyhorn
base,91,Base,false,,Sandshrew
base,92,Base,false,,Seel
base,93,Base,false,,Slowpoke
base,94,Base,false,,Spearow
base,95,Base,false,,Squirtle
base,96,Base,false,,Tentacool
base,97,Base,false,,Voltorb
base,98,Base,false,,Vulpix
base,99,Base,false,,Weedle
base,100,Base,false,,Full Heal Energy
base,101,Base,false,,Potion Energy
base,102,Base,false,,Pokémon Breeder
base,103,Base,false,,Pokémon Trader
base,104,Base,false,,Scoop Up
base,105,Base,false,,The Boss's Way
base,106,Base,false,,Challenge!
base,107,Base,false,,Energy Retrieval
base,108,Base,false,,Bill
base,109,Base,false,,Mysterious Fossil
base,110,Base,false,,Potion
