category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Ampharos
base,2,Base,false,,Arcanine
base,3,Base,false,,Ariados
base,4,Base,false,,Azumarill
base,5,Base,false,,Bellossom
base,6,Base,false,,Blissey
base,7,Base,false,,Donphan
base,8,Base,false,,Electrode
base,9,Base,false,,Elekid
base,10,Base,false,,Entei
base,11,Base,false,,Espeon
base,12,Base,false,,Exeggutor
base,13,Base,false,,Exeggutor
base,14,Base,false,,Houndoom
base,15,Base,false,,Houndoom
base,16,Base,false,,Hypno
base,17,Base,false,,Jumpluff
base,18,Base,false,,Jynx
base,19,Base,false,,Kingdra
base,20,Base,false,,Lanturn
base,21,Base,false,,Lanturn
base,22,Base,false,,Magneton
base,23,Base,false,,Muk
base,24,Base,false,,Nidoking
base,25,Base,false,,Ninetales
base,26,Base,false,,Octillery
base,27,Base,false,,Parasect
base,28,Base,false,,Porygon2
base,29,Base,false,,Primeape
base,30,Base,false,,Quagsire
base,31,Base,false,,Rapidash
base,32,Base,false,,Scizor
base,33,Base,false,,Slowbro
base,34,Base,false,,Slowking
base,35,Base,false,,Steelix
base,36,Base,false,,Sudowoodo
base,37,Base,false,,Suicune
base,38,Base,false,,Tentacruel
base,39,Base,false,,Togetic
base,40,Base,false,,Tyranitar
base,41,Base,false,,Umbreon
base,42,Base,false,,Victreebel
base,43,Base,false,,Vileplume
base,44,Base,false,,Zapdos
base,45,Base,false,,Bellsprout
base,46,Base,false,,Dodrio
base,47,Base,false,,Flaaffy
base,48,Base,false,,Furret
base,49,Base,false,,Gloom
base,50b,Base,false,,Golduck
base,50a,Base,false,,Golduck
base,51,Base,false,,Growlithe
base,52,Base,false,,Magnemite
base,53,Base,false,,Marill
base,54,Base,false,,Marowak
base,55,Base,false,,Nidorino
base,56,Base,false,,Pupitar
base,57,Base,false,,Scyther
base,58,Base,false,,Seadra
base,59,Base,false,,Seaking
base,60,Base,false,,Skiploom
base,61,Base,false,,Smoochum
base,62,Base,false,,Spinarak
base,63,Base,false,,Tyrogue
base,64,Base,false,,Voltorb
base,65,Base,false,,Weepinbell
base,66,Base,false,,Wooper
base,67,Base,false,,Aipom
base,68,Base,false,,Bellsprout
base,69,Base,false,,Chansey
base,70,Base,false,,Chinchou
base,71,Base,false,,Chinchou
base,72,Base,false,,Cubone
base,73,Base,false,,Doduo
base,74a,Base,false,,Drowzee
