category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Team Aqua's Cacturne
base,2,Base,false,,Team Aqua's Crawdaunt
base,3,Base,false,,Team Aqua's Kyogre
base,4,Base,false,,Team Aqua's Manectric
base,5,Base,false,,Team Aqua's Sharpedo
base,6,Base,false,,Team Aqua's Walrein
base,7,Base,false,,Team Magma's Aggron
base,8,Base,false,,Team Magma's Claydol
base,9,Base,false,,Team Magma's Groudon
base,10,Base,false,,Team Magma's Houndoom
base,11,Base,false,,Team Magma's Rhydon
base,12,Base,false,,Team Magma's Torkoal
base,13,Base,false,,Raichu
base,14,Base,false,,Team Aqua's Crawdaunt
base,15,Base,false,,Team Aqua's Mightyena
base,16,Base,false,,Team Aqua's Sealeo
base,17,Base,false,,Team Aqua's Seviper
base,18,Base,false,,Team Aqua's Sharpedo
base,19,Base,false,,Team Magma's Camerupt
base,20,Base,false,,Team Magma's Lairon
base,21,Base,false,,Team Magma's Mightyena
base,22,Base,false,,Team Magma's Rhydon
base,23,Base,false,,Team Magma's Zangoose
base,24,Base,false,,Team Aqua's Cacnea
base,25,Base,false,,Team Aqua's Carvanha
base,26,Base,false,,Team Aqua's Corphish
base,27,Base,false,,Team Aqua's Electrike
base,28,Base,false,,Team Aqua's Lanturn
base,29,Base,false,,Team Aqua's Manectric
base,30,Base,false,,Team Aqua's Mightyena
base,31,Base,false,,Team Aqua's Sealeo
base,32,Base,false,,Team Magma's Baltoy
base,33,Base,false,,Team Magma's Claydol
base,34,Base,false,,Team Magma's Houndoom
base,35,Base,false,,Team Magma's Houndour
base,36,Base,false,,Team Magma's Lairon
base,37,Base,false,,Team Magma's Mightyena
base,38,Base,false,,Team Magma's Rhyhorn
base,39,Base,false,,Bulbasaur
base,40,Base,false,,Cubone
base,41,Base,false,,Jigglypuff
base,42,Base,false,,Meowth
base,43,Base,false,,Pikachu
base,44,Base,false,,Psyduck
base,45,Base,false,,Slowpoke
base,46,Base,false,,Squirtle
base,47,Base,false,,Team Aqua's Carvanha
base,48,Base,false,,Team Aqua's Carvanha
base,49,Base,false,,Team Aqua's Chinchou
base,50,Base,false,,Team Aqua's Corphish
base,51,Base,false,,Team Aqua's Corphish
base,52,Base,false,,Team Aqua's Electrike
base,53,Base,false,,Team Aqua's Electrike
base,54,Base,false,,Team Aqua's Poochyena
base,55,Base,false,,Team Aqua's Poochyena
base,56,Base,false,,Team Aqua's Spheal
base,57,Base,false,,Team Aqua's Spheal
base,58,Base,false,,Team Magma's Aron
base,59,Base,false,,Team Magma's Aron
base,60,Base,false,,Team Magma's Baltoy
base,61,Base,false,,Team Magma's Baltoy
base,62,Base,false,,Team Magma's Houndour
base,63,Base,false,,Team Magma's Houndour
base,64,Base,false,,Team Magma's Numel
base,65,Base,false,,Team Magma's Poochyena
base,66,Base,false,,Team Magma's Poochyena
base,67,Base,false,,Team Magma's Rhyhorn
base,68,Base,false,,Team Magma's Rhyhorn
base,69,Base,false,,Team Aqua Schemer
base,70,Base,false,,Team Magma Schemer
base,71,Base,false,,Archie
base,72,Base,false,,Dual Ball
base,73,Base,false,,Maxie
base,74,Base,false,,Strength Charm
base,75,Base,false,,Team Aqua Ball
base,76,Base,false,,Team Aqua Belt
base,77,Base,false,,Team Aqua Conspirator
base,78,Base,false,,Team Aqua Hideout
base,79,Base,false,,Team Aqua's Technical Machine 01
base,80,Base,false,,Team Magma Ball
base,81,Base,false,,Team Magma Belt
base,82,Base,false,,Team Magma Conspirator
base,83,Base,false,,Team Magma Hideout
base,84,Base,false,,Team Magma's Technical Machine 01
base,85,Base,false,,Warp Point
base,86,Base,false,,Aqua Energy
base,87,Base,false,,Magma Energy
base,88,Base,false,,Double Rainbow Energy
base,89,Base,false,,Blaziken ex
base,90,Base,false,,Cradily ex
base,91,Base,false,,Entei ex
base,92,Base,false,,Raikou ex
base,93,Base,false,,Sceptile ex
base,94,Base,false,,Suicune ex
base,95,Base,false,,Swampert ex
base,96,Base,false,,Absol
base,97,Base,false,,Jirachi
