category,cardNumber,parallel,isAuto,printRun,player
base,!,Base,false,,Unown
base,%3F,Base,false,,Unown
base,A,Base,false,,Unown
base,B,Base,false,,Unown
base,C,Base,false,,Unown
base,D,Base,false,,Unown
base,E,Base,false,,Unown
base,F,Base,false,,Unown
base,G,Base,false,,Unown
base,H,Base,false,,Unown
base,I,Base,false,,Unown
base,J,Base,false,,Unown
base,K,Base,false,,Unown
base,L,Base,false,,Unown
base,M,Base,false,,Unown
base,N,Base,false,,Unown
base,O,Base,false,,Unown
base,P,Base,false,,Unown
base,Q,Base,false,,Unown
base,R,Base,false,,Unown
base,S,Base,false,,Unown
base,T,Base,false,,Unown
base,U,Base,false,,Unown
base,V,Base,false,,Unown
base,W,Base,false,,Unown
base,X,Base,false,,Unown
base,Y,Base,false,,Unown
base,Z,Base,false,,Unown
