category,cardNumber,parallel,isAuto,printRun,player
base,DP01,Base,false,,Turtwig
base,DP02,Base,false,,Chimchar
base,DP03,Base,false,,Piplup
base,DP04,Base,false,,Pachirisu
base,DP05,Base,false,,Tropical Wind
base,DP06,Base,false,,Buneary
base,DP07,Base,false,,Cranidos
base,DP08,Base,false,,Shieldon
base,DP09,Base,false,,Torterra
base,DP10,Base,false,,Infernape
base,DP11,Base,false,,Empoleon
base,DP12,Base,false,,Lucario
base,DP13,Base,false,,Buizel
base,DP14,Base,false,,Chatot
base,DP15,Base,false,,Shinx
base,DP16,Base,false,,Pikachu
base,DP17,Base,false,,Dialga
base,DP18,Base,false,,Palkia
base,DP19,Base,false,,Darkrai
base,DP20,Base,false,,Magmortar
base,DP21,Base,false,,Raichu
base,DP22,Base,false,,Mime Jr.
base,DP23,Base,false,,Glameow
base,DP24,Base,false,,Darkrai
base,DP25,Base,false,,Tropical Wind
base,DP26,Base,false,,Dialga
base,DP27,Base,false,,Palkia
base,DP28,Base,false,,Mewtwo
base,DP29,Base,false,,Rhyperior
base,DP30,Base,false,,Regigigas
base,DP31,Base,false,,Heatran
base,DP32,Base,false,,Magnezone
base,DP33,Base,false,,Dusknoir
base,DP34,Base,false,,Drifblim
base,DP35,Base,false,,Porygon-Z
base,DP36,Base,false,,Gliscor
base,DP37,Base,false,,Dialga
base,DP38,Base,false,,Giratina
base,DP39,Base,false,,Shaymin
base,DP40,Base,false,,Regigigas
base,DP41,Base,false,,Toxicroak G
base,DP42,Base,false,,Carnivine G
base,DP43,Base,false,,Probopass G
base,DP44,Base,false,,Magnezone
base,DP45,Base,false,,Charizard G
base,DP46,Base,false,,Garchomp C
base,DP47,Base,false,,Rayquaza C
base,DP48,Base,false,,Tropical Wind
base,DP49,Base,false,,Dialga
base,DP50,Base,false,,Arceus
base,DP51,Base,false,,Cresselia
base,DP52,Base,false,,Darkrai
base,DP53,Base,false,,Arceus
base,DP54,Base,false,,Beginning Door
base,DP55,Base,false,,Ultimate Zone
base,DP56,Base,false,,Arceus
