category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Blaziken
base,2,Base,false,,Cresselia
base,3,Base,false,,Darkrai
base,4,Base,false,,Darkrai
base,5,Base,false,,Pachirisu
base,6,Base,false,,Porygon-Z
base,7,Base,false,,Rotom
base,8,Base,false,,Sceptile
base,9,Base,false,,Swampert
base,10,Base,false,,Tangrowth
base,11,Base,false,,Togekiss
base,12,Base,false,,Altaria
base,13,Base,false,,Beedrill
base,14,Base,false,,Butterfree
base,15,Base,false,,Claydol
base,16,Base,false,,Dialga
base,17,Base,false,,Exploud
base,18,Base,false,,Houndoom
base,19,Base,false,,Hypno
base,20,Base,false,,Kingler
base,21,Base,false,,Lapras
base,22,Base,false,,Latias
base,23,Base,false,,Latios
base,24,Base,false,,Mawile
base,25,Base,false,,Milotic
base,26,Base,false,,Palkia
base,27,Base,false,,Primeape
base,28,Base,false,,Slowking
base,29,Base,false,,Unown H
base,30,Base,false,,Wailord
base,31,Base,false,,Weezing
base,32,Base,false,,Wigglytuff
base,33,Base,false,,Arbok
base,34,Base,false,,Cacturne
base,35,Base,false,,Combusken
base,36,Base,false,,Delibird
base,37,Base,false,,Floatzel
base,38,Base,false,,Gorebyss
base,39,Base,false,,Granbull
base,40,Base,false,,Grovyle
base,41,Base,false,,Hariyama
base,42,Base,false,,Huntail
base,43,Base,false,,Linoone
base,44,Base,false,,Loudred
base,45,Base,false,,Magcargo
base,46,Base,false,,Marshtomp
base,47,Base,false,,Metapod
base,48,Base,false,,Pelipper
base,49,Base,false,,Porygon2
base,50,Base,false,,Purugly
base,51,Base,false,,Relicanth
base,52,Base,false,,Seviper
base,53,Base,false,,Skarmory
base,54,Base,false,,Slowbro
base,55,Base,false,,Togetic
base,56,Base,false,,Unown F
base,57,Base,false,,Unown G
base,58,Base,false,,Wailmer
base,59,Base,false,,Zangoose
base,60,Base,false,,Baltoy
base,61,Base,false,,Buizel
base,62,Base,false,,Cacnea
base,63,Base,false,,Caterpie
base,64,Base,false,,Clamperl
base,65,Base,false,,Drowzee
base,66,Base,false,,Ekans
base,67,Base,false,,Feebas
base,68,Base,false,,Glameow
base,69,Base,false,,Houndour
base,70,Base,false,,Igglybuff
base,71,Base,false,,Illumise
base,72,Base,false,,Jigglypuff
base,73,Base,false,,Kakuna
base,74,Base,false,,Koffing
base,75,Base,false,,Krabby
base,76,Base,false,,Lunatone
base,77,Base,false,,Luvdisc
base,78,Base,false,,Makuhita
base,79,Base,false,,Mankey
base,80,Base,false,,Mudkip
base,81,Base,false,,Porygon
base,82,Base,false,,Slowpoke
base,83,Base,false,,Slugma
base,84,Base,false,,Snubbull
base,85,Base,false,,Solrock
base,86,Base,false,,Swablu
base,87,Base,false,,Tangela
base,88,Base,false,,Togepi
base,89,Base,false,,Torchic
base,90,Base,false,,Treecko
base,91,Base,false,,Unown L
base,92,Base,false,,Volbeat
base,93,Base,false,,Weedle
base,94,Base,false,,Whismur
base,95,Base,false,,Wingull
base,96,Base,false,,Zigzagoon
base,97,Base,false,,Amulet Coin
base,98,Base,false,,Felicity's Drawing
base,99,Base,false,,Leftovers
base,100,Base,false,,Moonlight Stadium
base,101,Base,false,,Premier Ball
base,102,Base,false,,Rare Candy
base,103,Base,false,,Cresselia
base,104,Base,false,,Darkrai
base,105,Base,false,,Dialga
base,106,Base,false,,Palkia
