category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Ampharos
base,2,Base,false,,Blastoise
base,3,Base,false,,Blaziken
base,4,Base,false,,Delcatty
base,5,Base,false,,Dialga
base,6,Base,false,,Dialga
base,7,Base,false,,Dialga G
base,8,Base,false,,Gardevoir
base,9,Base,false,,Giratina
base,10,Base,false,,Giratina
base,11,Base,false,,Manectric
base,12,Base,false,,Palkia G
base,13,Base,false,,Rampardos
base,14,Base,false,,Shaymin
base,15,Base,false,,Shaymin
base,16,Base,false,,Slaking
base,17,Base,false,,Weavile G
base,18,Base,false,,Altaria
base,19,Base,false,,Banette
base,20,Base,false,,Bastiodon
base,21,Base,false,,Beautifly
base,22,Base,false,,Blissey
base,23,Base,false,,Dialga
base,24,Base,false,,Dugtrio
base,25,Base,false,,Dustox
base,26,Base,false,,Empoleon
base,27,Base,false,,Giratina
base,28,Base,false,,Giratina
base,29,Base,false,,Golduck
base,30,Base,false,,Gyarados G
base,31,Base,false,,Infernape
base,32,Base,false,,Kricketune
base,33,Base,false,,Lickilicky
base,34,Base,false,,Ludicolo
base,35,Base,false,,Luvdisc
base,36,Base,false,,Ninetales
base,37,Base,false,,Palkia
base,38,Base,false,,Shaymin
base,39,Base,false,,Torterra
base,40,Base,false,,Toxicroak G
base,41,Base,false,,Bronzong G
base,42,Base,false,,Cacturne
base,43,Base,false,,Carnivine
base,44,Base,false,,Cascoon
base,45,Base,false,,Combusken
base,46,Base,false,,Cranidos
base,47,Base,false,,Crobat G
base,48,Base,false,,Flaaffy
base,49,Base,false,,Grotle
base,50,Base,false,,Houndoom G
base,51,Base,false,,Kirlia
base,52,Base,false,,Lombre
base,53,Base,false,,Lucario
base,54,Base,false,,Mightyena
base,55,Base,false,,Mismagius
base,56,Base,false,,Monferno
base,57,Base,false,,Muk
base,58,Base,false,,Octillery
base,59,Base,false,,Prinplup
base,60,Base,false,,Probopass
base,61,Base,false,,Seviper
base,62,Base,false,,Shieldon
base,63,Base,false,,Silcoon
base,64,Base,false,,Vigoroth
base,65,Base,false,,Wartortle
base,66,Base,false,,Zangoose
base,67,Base,false,,Cacnea
base,68,Base,false,,Carnivine
base,69,Base,false,,Chansey
base,70,Base,false,,Chimchar
base,71,Base,false,,Combee
base,72,Base,false,,Diglett
base,73,Base,false,,Dunsparce
base,74,Base,false,,Electrike
base,75,Base,false,,Grimer
base,76,Base,false,,Happiny
base,77,Base,false,,Honchkrow G
base,78,Base,false,,Kricketot
base,79,Base,false,,Lapras
base,80,Base,false,,Lickitung
base,81,Base,false,,Lotad
base,82,Base,false,,Mareep
base,83,Base,false,,Misdreavus
base,84,Base,false,,Nosepass
base,85,Base,false,,Piplup
base,86,Base,false,,Poochyena
base,87,Base,false,,Psyduck
base,88,Base,false,,Purugly G
base,89,Base,false,,Ralts
base,90,Base,false,,Remoraid
base,91,Base,false,,Riolu
base,92,Base,false,,Shuppet
base,93,Base,false,,Skitty
base,94,Base,false,,Skuntank G
base,95,Base,false,,Slakoth
base,96,Base,false,,Squirtle
base,97,Base,false,,Swablu
base,98,Base,false,,Tauros
base,99,Base,false,,Torchic
base,100,Base,false,,Torkoal
base,101,Base,false,,Turtwig
base,102,Base,false,,Vulpix
base,103,Base,false,,Wurmple
base,104,Base,false,,Broken Time-Space
base,105,Base,false,,Cyrus's Conspiracy
base,106,Base,false,,Galactic HQ
base,107,Base,false,,Level Max
base,108,Base,false,,Life Herb
base,109,Base,false,,Looker's Investigation
base,110,Base,false,,Memory Berry
base,111,Base,false,,Miasma Valley
base,112,Base,false,,PlusPower
base,113,Base,false,,Poké Ball
base,114,Base,false,,Pokédex HANDY910is
base,115,Base,false,,Pokémon Rescue
base,116,Base,false,,Team Galactic's Invention G-101 Energy Gain
base,117,Base,false,,Team Galactic's Invention G-103 Power Spray
base,118,Base,false,,Team Galactic's Invention G-105 Poké Turn
base,119,Base,false,,Armor Fossil
base,120,Base,false,,Skull Fossil
base,121,Base,false,,Rainbow Energy
base,122,Base,false,,Dialga G
base,123,Base,false,,Drapion
base,124,Base,false,,Giratina
base,125,Base,false,,Palkia G
base,126,Base,false,,Shaymin
base,127,Base,false,,Shaymin
base,128,Base,false,,Electabuzz
base,129,Base,false,,Hitmonchan
base,130,Base,false,,Scyther
base,SH4,Base,false,,Lotad
base,SH5,Base,false,,Swablu
base,SH6,Base,false,,Vulpix
