category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Garchomp
base,2,Base,false,,Manaphy
base,3,Base,false,,Raichu
base,4,Base,false,,Regigigas
base,5,Base,false,,Rotom
base,6,Base,false,,Buizel
base,7,Base,false,,Croagunk
base,8,Base,false,,Gabite
base,9,Base,false,,Lopunny
base,10,Base,false,,Pachirisu
base,11,Base,false,,Pichu
base,12,Base,false,,Buneary
base,13,Base,false,,Chimchar
base,14,Base,false,,Gible
base,15,Base,false,,Pikachu
base,16,Base,false,,Piplup
base,17,Base,false,,Turtwig
