category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Jirachi
base,2,Base,false,,Magmortar
base,3,Base,false,,Manaphy
base,4,Base,false,,Metagross
base,5,Base,false,,Mismagius
base,6,Base,false,,Octillery
base,7,Base,false,,Politoed
base,8,Base,false,,Shaymin
base,9,Base,false,,Sudowoodo
base,10,Base,false,,Torterra
base,11,Base,false,,Xatu
base,12,Base,false,,Beedrill
base,13,Base,false,,Blastoise
base,14,Base,false,,Crobat
base,15,Base,false,,Fearow
base,16,Base,false,,Floatzel
base,17,Base,false,,Kingdra
base,18,Base,false,,Lanturn
base,19,Base,false,,Lucario
base,20,Base,false,,Ninetales
base,21,Base,false,,Poliwrath
base,22,Base,false,,Primeape
base,23,Base,false,,Roserade
base,24,Base,false,,Steelix
base,25,Base,false,,Torkoal
base,26,Base,false,,Tyranitar
base,27,Base,false,,Ursaring
base,28,Base,false,,Cherrim
base,29,Base,false,,Dunsparce
base,30,Base,false,,Golbat
base,31,Base,false,,Grotle
base,32,Base,false,,Kakuna
base,33,Base,false,,Metang
base,34,Base,false,,Minun
base,35,Base,false,,Numel
base,36,Base,false,,Plusle
base,37,Base,false,,Poliwhirl
base,38,Base,false,,Pupitar
base,39,Base,false,,Pupitar
base,40,Base,false,,Seadra
base,41,Base,false,,Tauros
base,42,Base,false,,Wartortle
base,43,Base,false,,Aipom
base,44,Base,false,,Beldum
base,45,Base,false,,Buizel
base,46,Base,false,,Carnivine
base,47,Base,false,,Cherubi
base,48,Base,false,,Chinchou
base,49,Base,false,,Horsea
base,50,Base,false,,Larvitar
base,51,Base,false,,Larvitar
base,52,Base,false,,Magmar
base,53,Base,false,,Mankey
base,54,Base,false,,Misdreavus
base,55,Base,false,,Natu
base,56,Base,false,,Onix
base,57,Base,false,,Onix
base,58,Base,false,,Poliwag
base,59,Base,false,,Remoraid
base,60,Base,false,,Riolu
base,61,Base,false,,Roselia
base,62,Base,false,,Spearow
base,63,Base,false,,Squirtle
base,64,Base,false,,Stantler
base,65,Base,false,,Teddiursa
base,66,Base,false,,Tropius
base,67,Base,false,,Turtwig
base,68,Base,false,,Vulpix
base,69,Base,false,,Weedle
base,70,Base,false,,Zubat
base,71,Base,false,,Cheerleader’s Cheer
base,72,Base,false,,Dual Ball
base,73,Base,false,,Emcee’s Chatter
base,74,Base,false,,Energy Returner
base,75,Base,false,,Engineer’s Adjustments
base,76,Base,false,,Good Rod
base,77,Base,false,,Interviewer’s Questions
base,78,Base,false,,Judge
base,79,Base,false,,Life Herb
base,80,Base,false,,PlusPower
base,81,Base,false,,Pokémon Circulator
base,82,Base,false,,Rare Candy
base,83,Base,false,,Super Scoop Up
base,84,Base,false,,Crobat
base,85,Base,false,,Kingdra
base,86,Base,false,,Lanturn
base,87,Base,false,,Steelix
base,88,Base,false,,Tyranitar
base,89,Base,false,,Ursaring
base,90,Base,false,,Entei & Raikou LEGEND
base,91,Base,false,,Entei & Raikou LEGEND
base,92,Base,false,,Raikou & Suicune LEGEND
base,93,Base,false,,Raikou & Suicune LEGEND
base,94,Base,false,,Suicune & Entei LEGEND
base,95,Base,false,,Suicune & Entei LEGEND
base,TWO,Base,false,,Alph Lithograph
