category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Lillipup
base,2,Base,false,,Fighting Energy
base,3,Base,false,,Fighting Energy
base,4,Base,false,,Energy Switch
base,5,Base,false,,Fighting Energy
base,6,Base,false,,Fighting Energy
base,7,Base,false,,Fighting Energy
base,8,Base,false,,Fighting Energy
base,9,Base,false,,Fighting Energy
base,10,Base,false,,Fighting Energy
base,11,Base,false,,Timburr
base,12,Base,false,,Audino
base,13,Base,false,,Drilbur
base,14,Base,false,,Gurdurr
base,15,Base,false,,Potion
base,16,Base,false,,PlusPower
base,17,Base,false,,Excadrill
base,18,Base,false,,Audino
base,19,Base,false,,Herdier
base,20,Base,false,,Fighting Energy
base,21,Base,false,,Energy Search
base,22,Base,false,,Fighting Energy
base,23,Base,false,,Potion
base,24,Base,false,,Pokémon Communication
base,25,Base,false,,Drilbur
base,26,Base,false,,Fighting Energy
base,27,Base,false,,Lillipup
base,28,Base,false,,Fighting Energy
base,29,Base,false,,Timburr
base,30,Base,false,,Excadrill
