category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Dratini
base,2,Base,false,,Dratini
base,3,Base,false,,Dragonair
base,4,Base,false,,Dragonair
base,5,Base,false,,Dragonite
base,6,Base,false,,Bagon
base,7,Base,false,,Shelgon
base,8,Base,false,,Salamence
base,9,Base,false,,Latias
base,10,Base,false,,Latios
base,11,Base,false,,Rayquaza
base,12,Base,false,,Axew
base,13,Base,false,,Axew
base,14,Base,false,,Fraxure
base,15,Base,false,,Fraxure
base,16,Base,false,,Haxorus
base,17,Base,false,,Druddigon
base,18,Base,false,,Exp. Share
base,19,Base,false,,First Ticket
base,20,Base,false,,Super Rod
base,21,Base,false,,Kyurem
