category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Tangela
base,2,Base,false,,Tangrowth
base,3,Base,false,,Shuckle
base,4,Base,false,,Cherubi
base,5,Base,false,,Carnivine
base,6,Base,false,,Snivy
base,7,Base,false,,Servine
base,8,Base,false,,Serperior
base,9,Base,false,,Sewaddle
base,10,Base,false,,Sewaddle
base,11,Base,false,,Swadloon
base,12,Base,false,,Leavanny
base,13,Base,false,,Dwebble
base,14,Base,false,,Crustle
base,15,Base,false,,Virizion
base,16,Base,false,,Genesect
base,17,Base,false,,Charmander
base,18,Base,false,,Charmeleon
base,19,Base,false,,Charizard
base,20,Base,false,,Vulpix
base,21,Base,false,,Ninetales
base,22,Base,false,,Moltres
base,23,Base,false,,Victini
base,24,Base,false,,Victini-EX
base,25,Base,false,,Tepig
base,26,Base,false,,Pignite
base,27,Base,false,,Emboar
base,28,Base,false,,Reshiram
base,29,Base,false,,Reshiram-EX
base,30,Base,false,,Magikarp
base,31,Base,false,,Gyarados
base,32,Base,false,,Articuno
base,33,Base,false,,Piplup
base,34,Base,false,,Prinplup
base,35,Base,false,,Empoleon
base,36,Base,false,,Phione
base,37,Base,false,,Oshawott
base,38,Base,false,,Dewott
base,39,Base,false,,Samurott
base,40,Base,false,,Tympole
base,41,Base,false,,Palpitoad
base,42,Base,false,,Seismitoad
base,43,Base,false,,Kyurem
base,44,Base,false,,Kyurem-EX
base,45,Base,false,,Keldeo-EX
base,46,Base,false,,Zapdos
base,47,Base,false,,Plusle
base,48,Base,false,,Minun
base,49,Base,false,,Emolga
base,50,Base,false,,Thundurus
base,51,Base,false,,Zekrom
base,52,Base,false,,Zekrom-EX
base,53,Base,false,,Mewtwo
base,54,Base,false,,Mewtwo-EX
base,55,Base,false,,Natu
base,56,Base,false,,Xatu
base,57,Base,false,,Misdreavus
base,58,Base,false,,Mismagius
base,59,Base,false,,Ralts
base,60,Base,false,,Kirlia
base,61,Base,false,,Sableye
base,62,Base,false,,Croagunk
base,63,Base,false,,Toxicroak
base,64,Base,false,,Woobat
base,65,Base,false,,Swoobat
base,66,Base,false,,Sigilyph
base,67,Base,false,,Trubbish
base,68,Base,false,,Garbodor
base,69,Base,false,,Gothita
base,70,Base,false,,Gothita
base,71,Base,false,,Gothorita
base,72,Base,false,,Gothitelle
base,73,Base,false,,Solosis
base,74,Base,false,,Solosis
base,75,Base,false,,Duosion
base,76,Base,false,,Reuniclus
base,77,Base,false,,Chandelure-EX
base,78,Base,false,,Meloetta
base,79,Base,false,,Riolu
base,80,Base,false,,Lucario
base,81,Base,false,,Gallade
base,82,Base,false,,Excadrill-EX
base,83,Base,false,,Stunfisk
base,84,Base,false,,Terrakion
base,85,Base,false,,Landorus
base,86,Base,false,,Meloetta
base,87,Base,false,,Spiritomb
base,88,Base,false,,Darkrai-EX
base,89,Base,false,,Zorua
base,90,Base,false,,Zoroark
base,91,Base,false,,Cobalion
base,92,Base,false,,Altaria
base,93,Base,false,,Rayquaza
base,94,Base,false,,Gible
base,95,Base,false,,Gabite
base,96,Base,false,,Garchomp
base,97,Base,false,,Deino
base,98,Base,false,,Zweilous
base,99,Base,false,,Hydreigon
base,100,Base,false,,Black Kyurem-EX
base,101,Base,false,,White Kyurem-EX
base,102,Base,false,,Lugia-EX
base,103,Base,false,,Swablu
base,104,Base,false,,Minccino
base,105,Base,false,,Cinccino
base,106,Base,false,,Druddigon
base,107,Base,false,,Bouffalant
base,108,Base,false,,Tornadus
base,109,Base,false,,Bianca
base,110,Base,false,,Cedric Juniper
base,111,Base,false,,Crushing Hammer
base,112,Base,false,,Energy Switch
base,113,Base,false,,Double Colorless Energy
base,114,Base,false,,Reshiram
base,115,Base,false,,Zekrom
base,RC1,Base,false,,Snivy
base,RC10,Base,false,,Gardevoir
base,RC11,Base,false,,Meloetta-EX
base,RC12,Base,false,,Stunfisk
base,RC13,Base,false,,Purrloin
base,RC14,Base,false,,Eevee
base,RC15,Base,false,,Teddiursa
base,RC16,Base,false,,Ursaring
base,RC17,Base,false,,Audino
base,RC18,Base,false,,Minccino
base,RC19,Base,false,,Cinccino
base,RC2,Base,false,,Servine
base,RC20,Base,false,,Elesa
base,RC21,Base,false,,Shaymin-EX
base,RC22,Base,false,,Reshiram
base,RC23,Base,false,,Emolga
base,RC24,Base,false,,Mew-EX
base,RC25,Base,false,,Meloetta-EX
base,RC3,Base,false,,Serperior
base,RC4,Base,false,,Growlithe
base,RC5,Base,false,,Torchic
base,RC6,Base,false,,Piplup
base,RC7,Base,false,,Pikachu
base,RC8,Base,false,,Ralts
base,RC9,Base,false,,Kirlia
