category,cardNumber,parallel,isAuto,printRun,player
base,XY01,Base,false,,Chespin
base,XY02,Base,false,,Fennekin
base,XY03,Base,false,,Froakie
base,XY04,Base,false,,Sylveon
base,XY05,Base,false,,Xerneas
base,XY06,Base,false,,Yveltal
base,XY07,Base,false,,Xerneas EX
base,XY08,Base,false,,Yveltal EX
base,XY09,Base,false,,Garchomp EX
base,XY10,Base,false,,Dragalge
base,XY100,Base,false,,Mewtwo
base,XY101,Base,false,,Mewtwo
base,XY102,Base,false,,Aurorus EX
base,XY103,Base,false,,Mawile EX
base,XY104,Base,false,,M Mawile EX
base,XY105,Base,false,,Mawile Spirit Link
base,XY106,Base,false,,Gyarados EX
base,XY107,Base,false,,Mewtwo EX
base,XY108,Base,false,,Machamp EX
base,XY109,Base,false,,Gyarados
base,XY11,Base,false,,Skiddo
base,XY110,Base,false,,Mew
base,XY111,Base,false,,Celebi
base,XY112,Base,false,,Jirachi
base,XY113,Base,false,,Manaphy
base,XY114,Base,false,,Darkrai
base,XY115,Base,false,,Shaymin
base,XY116,Base,false,,Arceus
base,XY117,Base,false,,Victini
base,XY118,Base,false,,Keldeo
base,XY119,Base,false,,Genesect
base,XY12,Base,false,,Honedge
base,XY120,Base,false,,Meloetta
base,XY121,Base,false,,Charizard EX
base,XY122,Base,false,,Blastoise EX
base,XY123,Base,false,,Venusaur EX
base,XY124,Base,false,,Pikachu EX
base,XY125,Base,false,,Mewtwo EX
base,XY126,Base,false,,Mew EX
base,XY127,Base,false,,Moltres
base,XY128,Base,false,,White Kyurem
base,XY129,Base,false,,Zygarde
base,XY13,Base,false,,Machamp
base,XY130,Base,false,,Tyranitar
base,XY131,Base,false,,Pansear
base,XY132,Base,false,,Gastly
base,XY133,Base,false,,Ash Greninja EX
base,XY134,Base,false,,Empoleon BREAK
base,XY135,Base,false,,Beheeyem BREAK
base,XY136,Base,false,,Noctowl BREAK
base,XY137,Base,false,,Vivillon
base,XY138,Base,false,,Froakie
base,XY139,Base,false,,Floette
base,XY14,Base,false,,Trevenant
base,XY140,Base,false,,Lucario
base,XY141,Base,false,,Rayquaza
base,XY142,Base,false,,Azelf
base,XY143,Base,false,,Magikarp
base,XY144,Base,false,,Yanmega
base,XY145,Base,false,,Volcanion
base,XY146,Base,false,,Clawitzer
base,XY147,Base,false,,Hoopa
base,XY148,Base,false,,Shaymin EX
base,XY149,Base,false,,Xerneas EX
base,XY15,Base,false,,Slurpuff
base,XY150,Base,false,,Yveltal EX
