category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Spoink
base,2,Base,false,,Gourgeist
base,3,Base,false,,Arbok
base,4,Base,false,,Bunnelby
base,5,Base,false,,Psychic Energy
base,6,Base,false,,Psychic Energy
base,7,Base,false,,Psychic Energy
base,8,Base,false,,Psychic Energy
base,9,Base,false,,Psychic Energy
base,10,Base,false,,Psychic Energy
base,11,Base,false,,Pumpkaboo
base,12,Base,false,,Noibat
base,13,Base,false,,Noivern
base,14,Base,false,,Pokémon Catcher
base,15,Base,false,,Potion
base,16,Base,false,,Ekans
base,17,Base,false,,Psychic Energy
base,18,Base,false,,Pumpkaboo
base,19,Base,false,,Darkness Energy
base,20,Base,false,,Furfrou
base,21,Base,false,,Poké Ball
base,22,Base,false,,Darkness Energy
base,23,Base,false,,Noibat
base,24,Base,false,,Professor’s Letter
base,25,Base,false,,Psychic Energy
base,26,Base,false,,Darkness Energy
base,27,Base,false,,Potion
base,28,Base,false,,Darkness Energy
base,29,Base,false,,Switch
base,30,Base,false,,Noivern
