category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Team Magma's Numel
base,2,Base,false,,Team Magma's Camerupt
base,3,Base,false,,Team Aqua's Spheal
base,4,Base,false,,Team Aqua's Sealeo
base,5,Base,false,,Team Aqua's Walrein
base,6,Base,false,,Team Aqua's Kyogre EX
base,7,Base,false,,Team Aqua's Grimer
base,8,Base,false,,Team Aqua's Muk
base,9,Base,false,,Team Aqua's Seviper
base,10,Base,false,,Team Magma's Baltoy
base,11,Base,false,,Team Magma's Claydol
base,12,Base,false,,Team Magma's Aron
base,13,Base,false,,Team Magma's Lairon
base,14,Base,false,,Team Magma's Aggron
base,15,Base,false,,Team Magma's Groudon EX
base,16,Base,false,,Team Aqua's Poochyena
base,17,Base,false,,Team Magma's Poochyena
base,18,Base,false,,Team Aqua's Mightyena
base,19,Base,false,,Team Magma's Mightyena
base,20,Base,false,,Team Aqua's Carvanha
base,21,Base,false,,Team Aqua's Sharpedo
base,22,Base,false,,Team Magma's Zangoose
base,23,Base,false,,Aqua Diffuser
base,24,Base,false,,Magma Pointer
base,25,Base,false,,Team Aqua Admin
base,26,Base,false,,Team Aqua Grunt
base,27,Base,false,,Team Aqua's Great Ball
base,28,Base,false,,Team Aqua's Secret Base
base,29,Base,false,,Team Magma Admin
base,30,Base,false,,Team Magma Grunt
base,31,Base,false,,Team Magma's Great Ball
base,32,Base,false,,Team Magma's Secret Base
base,33,Base,false,,Double Aqua Energy
base,34,Base,false,,Double Magma Energy
