category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Grass Energy
base,2,Base,false,,Grass Energy
base,3,Base,false,,Grass Energy
base,4,Base,false,,Fletchling
base,5,Base,false,,Grass Energy
base,6,Base,false,,Lombre
base,7,Base,false,,Treecko
base,8,Base,false,,Psychic Energy
base,9,Base,false,,Psychic Energy
base,10,Base,false,,Psychic Energy
base,11,Base,false,,Lotad
base,12,Base,false,,Tangrowth
base,13,Base,false,,Tangela
base,14,Base,false,,Latias
base,15,Base,false,,Potion
base,16,Base,false,,Surskit
base,17,Base,false,,Psychic Energy
base,18,Base,false,,Grovyle
base,19,Base,false,,Grass Energy
base,20,Base,false,,Acro Bike
base,21,Base,false,,Lombre
base,22,Base,false,,Psychic Energy
base,23,Base,false,,Lotad
base,24,Base,false,,Treecko
base,25,Base,false,,Tangrowth
base,26,Base,false,,Tangela
base,27,Base,false,,Grovyle
base,28,Base,false,,Psychic Energy
base,29,Base,false,,Acro Bike
base,30,Base,false,,Latias
