category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Skitty
base,2,Base,false,,Fighting Energy
base,3,Base,false,,Fighting Energy
base,4,Base,false,,Rhydon
base,5,Base,false,,Fighting Energy
base,6,Base,false,,Fighting Energy
base,7,Base,false,,Fighting Energy
base,8,Base,false,,Fighting Energy
base,9,Base,false,,Fighting Energy
base,10,Base,false,,Fighting Energy
base,11,Base,false,,Machop
base,12,Base,false,,Solrock
base,13,Base,false,,Latios
base,14,Base,false,,Machoke
base,15,Base,false,,Rhyhorn
base,16,Base,false,,Psychic Energy
base,17,Base,false,,Fighting Energy
base,18,Base,false,,Psychic Energy
base,19,Base,false,,Delcatty
base,20,Base,false,,Acro Bike
base,21,Base,false,,Potion
base,22,Base,false,,Machoke
base,23,Base,false,,Rhyhorn
base,24,Base,false,,Delcatty
base,25,Base,false,,Rhydon
base,26,Base,false,,Solrock
base,27,Base,false,,Skitty
base,28,Base,false,,Machop
base,29,Base,false,,Psychic Energy
base,30,Base,false,,Latios
