category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Water Energy
base,2,Base,false,,Water Energy
base,3,Base,false,,Water Energy
base,4,Base,false,,Eevee
base,5,Base,false,,Water Energy
base,6,Base,false,,Frogadier
base,7,Base,false,,Ducklett
base,8,Base,false,,Water Energy
base,9,Base,false,,Water Energy
base,10,Base,false,,Water Energy
base,11,Base,false,,Froakie
base,12,Base,false,,Seaking
base,13,Base,false,,Goldeen
base,14,Base,false,,Suicune
base,15,Base,false,,Potion
base,16,Base,false,,Piplup
base,17,Base,false,,Water Energy
base,18,Base,false,,Swanna
base,19,Base,false,,Water Energy
base,20,Base,false,,Tierno
base,21,Base,false,,Frogadier
base,22,Base,false,,Water Energy
base,23,Base,false,,Froakie
base,24,Base,false,,Ducklett
base,25,Base,false,,Seaking
base,26,Base,false,,Goldeen
base,27,Base,false,,Swanna
base,28,Base,false,,Water Energy
base,29,Base,false,,Tierno
base,30,Base,false,,Suicune
