category,cardNumber,parallel,isAuto,printRun,player
base,SM01,Base,false,,Rowlet
base,SM02,Base,false,,Litten
base,SM03,Base,false,,Popplio
base,SM04,Base,false,,Pikachu
base,SM05,Base,false,,Snorlax GX
base,SM06,Base,false,,Rockruff
base,SM07,Base,false,,Pikipek
base,SM08,Base,false,,Litten
base,SM09,Base,false,,Togedemaru
base,SM10,Base,false,,Shiinotic
base,SM100,Base,false,,Lucario GX
base,SM101,Base,false,,Dawn Wings Necrozma GX
base,SM102,Base,false,,Dusk Mane Necrozma GX
base,SM103,Base,false,,Lunala GX
base,SM104,Base,false,,Solgaleo GX
base,SM105,Base,false,,Lycanroc
base,SM106,Base,false,,Dawn Wings Necrozma
base,SM107,Base,false,,Dusk Mane Necrozma
base,SM108,Base,false,,Ash's Pikachu
base,SM109,Base,false,,Ash's Pikachu
base,SM11,Base,false,,Bruxish
base,SM110,Base,false,,Ash's Pikachu
base,SM111,Base,false,,Ash's Pikachu
base,SM112,Base,false,,Ash's Pikachu
base,SM113,Base,false,,Ash's Pikachu
base,SM114,Base,false,,Ash's Pikachu
base,SM115,Base,false,,Pheromosa
base,SM116,Base,false,,Xurkitree
base,SM117,Base,false,,Malamar
base,SM118,Base,false,,Lycanroc
base,SM119,Base,false,,Exeggcute
base,SM12,Base,false,,Passimian
base,SM120,Base,false,,Rockruff
base,SM121,Base,false,,Raikou GX
base,SM122,Base,false,,Zygarde GX
base,SM123,Base,false,,Dawn Wings Necrozma
base,SM124,Base,false,,Dusk Mane Necrozma
base,SM125,Base,false,,Naganadel GX
base,SM126,Base,false,,Ultra Necrozma GX
base,SM127,Base,false,,Alolan Sandslash
base,SM128,Base,false,,Alolan Ninetales
base,SM129,Base,false,,Kyogre
base,SM13,Base,false,,Oranguru
base,SM130,Base,false,,Manectric
base,SM131,Base,false,,Celesteela
base,SM132,Base,false,,Delcatty
base,SM133,Base,false,,Thundurus GX
base,SM134,Base,false,,Tornadus GX
base,SM135,Base,false,,Latias
base,SM136,Base,false,,Latios
base,SM137,Base,false,,Reshiram GX
base,SM138,Base,false,,Zekrom GX
base,SM139,Base,false,,Salamence GX
base,SM14,Base,false,,Lycanroc GX
base,SM140,Base,false,,Salamence
base,SM141,Base,false,,White Kyurem GX
base,SM142,Base,false,,Kyurem
base,SM143,Base,false,,Moltres
base,SM144,Base,false,,Articuno
base,SM145,Base,false,,Zapdos
base,SM146,Base,false,,Leafeon GX
base,SM147,Base,false,,Glaceon GX
base,SM148,Base,false,,Champions Festival
base,SM149,Base,false,,Suicune
base,SM15,Base,false,,Zygarde
base,SM150,Base,false,,Raikou
base,SM151,Base,false,,Giratina
base,SM152,Base,false,,Tapu Lele
base,SM153,Base,false,,Rowlet
base,SM154,Base,false,,Salandit
base,SM155,Base,false,,Kingdra GX
base,SM156,Base,false,,Dragonite GX
base,SM157,Base,false,,Pikachu
base,SM158,Base,false,,Charizard
base,SM159,Base,false,,Zapdos
base,SM16,Base,false,,Solgaleo GX
base,SM160,Base,false,,Nidoqueen
base,SM161,Base,false,,Jirachi
base,SM162,Base,false,,Pikachu
base,SM163,Base,false,,Mimikyu
base,SM164,Base,false,,Deoxys
base,SM165,Base,false,,Ultra Necrozma
base,SM166,Base,false,,Magikarp & Wailord GX
base,SM167,Base,false,,Celebi & Venusaur GX
base,SM168,Base,false,,Pikachu & Zekrom GX
base,SM169,Base,false,,Eevee & Snorlax GX
base,SM17,Base,false,,Lunala GX
base,SM170,Base,false,,Detective Pikachu
base,SM171,Base,false,,Flareon GX
base,SM172,Base,false,,Vaporeon GX
base,SM173,Base,false,,Jolteon GX
base,SM174,Base,false,,Eevee GX
base,SM175,Base,false,,Eevee GX
base,SM176,Base,false,,Eevee GX
base,SM177,Base,false,,Meltan
base,SM178,Base,false,,Melmetal GX
base,SM179,Base,false,,Volcanion
base,SM18,Base,false,,Alolan Sandslash
base,SM180,Base,false,,Stakataka
base,SM181,Base,false,,Melmetal
base,SM182,Base,false,,Persian
base,SM183,Base,false,,Pikachu
base,SM184,Base,false,,Eevee
base,SM185,Base,false,,Typhlosion
base,SM186,Base,false,,Flareon
base,SM187,Base,false,,Alolan Marowak GX
