category,cardNumber,parallel,isAuto,printRun,player
base,2,Base,false,,Lightning Energy
base,4,Base,false,,Stufful
base,6,Base,false,,Golbat
base,11,Base,false,,Zubat
base,13,Base,false,,Spearow
base,14,Base,false,,Pikachu
base,15,Base,false,,Potion
base,16,Base,false,,Grubbin
base,17,Base,false,,Alolan Raichu
base,18,Base,false,,Bewear
base,19,Base,false,,Hau
base,20,Base,false,,Psychic Energy
base,21,Base,false,,Great Ball
base,22,Base,false,,Drowzee
base,23,Base,false,,Hau
base,25,Base,false,,Great Ball
base,26,Base,false,,Togedemaru
base,29,Base,false,,Pikachu
base,30,Base,false,,Alolan Raichu
