category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Exeggcute
base,2,Base,false,,Alolan Exeggutor
base,3,Base,false,,Snover
base,4,Base,false,,Abomasnow
base,5,Base,false,,Scatterbug
base,6,Base,false,,Scatterbug
base,7,Base,false,,Spewpa
base,8,Base,false,,Vivillon
base,9,Base,false,,Skiddo
base,10,Base,false,,Gogoat
base,11,Base,false,,Pheromosa
base,12,Base,false,,Alolan Marowak
base,13,Base,false,,Heatran
base,14,Base,false,,Fennekin
base,15,Base,false,,Fennekin
base,16,Base,false,,Braixen
base,17,Base,false,,Delphox
base,18,Base,false,,Litleo
base,19,Base,false,,Pyroar
base,20,Base,false,,Palkia GX
base,21,Base,false,,Froakie
base,22,Base,false,,Froakie
base,23,Base,false,,Frogadier
base,24,Base,false,,Greninja GX
base,25,Base,false,,Clauncher
base,26,Base,false,,Clawitzer
base,27,Base,false,,Amaura
base,28,Base,false,,Aurorus
base,29,Base,false,,Bergmite
base,30,Base,false,,Avalugg
base,31,Base,false,,Volcanion ◇
base,32,Base,false,,Dewpider
base,33,Base,false,,Araquanid
base,34,Base,false,,Magnemite
base,35,Base,false,,Magneton
base,36,Base,false,,Magnezone
base,37,Base,false,,Helioptile
base,38,Base,false,,Heliolisk
base,39,Base,false,,Xurkitree
base,40,Base,false,,Rotom
base,41,Base,false,,Uxie
base,42,Base,false,,Mesprit
base,43,Base,false,,Azelf
base,44,Base,false,,Espurr
base,45,Base,false,,Meowstic
base,46,Base,false,,Honedge
base,47,Base,false,,Honedge
base,48,Base,false,,Doublade
base,49,Base,false,,Aegislash
base,50,Base,false,,Inkay
base,51,Base,false,,Malamar
base,52,Base,false,,Skrelp
base,53,Base,false,,Dragalge
base,54,Base,false,,Hoopa
base,55,Base,false,,Poipole
base,56,Base,false,,Naganadel GX
base,57,Base,false,,Cubone
base,58,Base,false,,Torterra
base,59,Base,false,,Infernape
base,60,Base,false,,Gible
base,61,Base,false,,Gabite
base,62,Base,false,,Garchomp
base,63,Base,false,,Croagunk
base,64,Base,false,,Toxicroak
base,65,Base,false,,Pancham
base,66,Base,false,,Binacle
base,67,Base,false,,Barbaracle
base,68,Base,false,,Tyrunt
base,69,Base,false,,Tyrantrum
base,70,Base,false,,Hawlucha
base,71,Base,false,,Zygarde
base,72,Base,false,,Zygarde
base,73,Base,false,,Zygarde GX
base,74,Base,false,,Diancie ◇
base,75,Base,false,,Rockruff
base,76,Base,false,,Lycanroc
base,77,Base,false,,Buzzwole
base,78,Base,false,,Pangoro
base,79,Base,false,,Yveltal GX
base,80,Base,false,,Guzzlord
base,81,Base,false,,Empoleon
base,82,Base,false,,Dialga GX
base,83,Base,false,,Flabébé
base,84,Base,false,,Flabébé
base,85,Base,false,,Floette
base,86,Base,false,,Florges
base,87,Base,false,,Sylveon
base,88,Base,false,,Dedenne
base,89,Base,false,,Klefki
base,90,Base,false,,Xerneas GX
base,91,Base,false,,Goomy
base,92,Base,false,,Goomy
base,93,Base,false,,Sliggoo
base,94,Base,false,,Goodra
base,95,Base,false,,Ultra Necrozma GX
base,96,Base,false,,Arceus ◇
base,97,Base,false,,Bunnelby
base,98,Base,false,,Diggersby
base,99,Base,false,,Furfrou
base,100,Base,false,,Noibat
base,101,Base,false,,Noivern
base,102,Base,false,,Beast Ring
base,103,Base,false,,Bonnie
base,104,Base,false,,Crasher Wake
base,105,Base,false,,Diantha
base,106,Base,false,,Eneporter
base,107,Base,false,,Fossil Excavation Map
base,108,Base,false,,Judge
base,109,Base,false,,Lady
base,110,Base,false,,Lysandre ◇
base,111,Base,false,,Lysandre Labs
base,112,Base,false,,Metal Frying Pan
base,113,Base,false,,Mysterious Treasure
base,114,Base,false,,Ultra Recon Squad
base,115,Base,false,,Ultra Space
base,116,Base,false,,Unidentified Fossil
base,117,Base,false,,Beast Energy ◇
base,118,Base,false,,Unit Energy FightingDarknessFairy
base,119,Base,false,,Palkia GX
base,120,Base,false,,Greninja GX
base,121,Base,false,,Naganadel GX
base,122,Base,false,,Lucario GX
base,123,Base,false,,Zygarde GX
base,124,Base,false,,Yveltal GX
base,125,Base,false,,Dialga GX
base,126,Base,false,,Xerneas GX
base,127,Base,false,,Ultra Necrozma GX
base,128,Base,false,,Bonnie
base,129,Base,false,,Crasher Wake
base,130,Base,false,,Diantha
base,131,Base,false,,Ultra Recon Squad
base,132,Base,false,,Palkia GX
base,133,Base,false,,Greninja GX
base,134,Base,false,,Naganadel GX
base,135,Base,false,,Lucario GX
base,136,Base,false,,Zygarde GX
base,137,Base,false,,Yveltal GX
base,138,Base,false,,Dialga GX
base,139,Base,false,,Xerneas GX
base,140,Base,false,,Ultra Necrozma GX
base,141,Base,false,,Beast Ring
base,142,Base,false,,Eneporter
base,143,Base,false,,Energy Recycler
base,144,Base,false,,Metal Frying Pan
base,145,Base,false,,Mysterious Treasure
base,146,Base,false,,Unit Energy FightingDarknessFairy
