category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Charmander
base,2,Base,false,,Charmeleon
base,3,Base,false,,Charizard
base,4,Base,false,,Torchic
base,5,Base,false,,Combusken
base,6,Base,false,,Blaziken
base,7,Base,false,,Victini ◇
base,8,Base,false,,Darumaka
base,9,Base,false,,Darmanitan
base,10,Base,false,,Heatmor
base,11,Base,false,,Reshiram GX
base,12,Base,false,,Litten
base,13,Base,false,,Salandit
base,14,Base,false,,Salazzle
base,15,Base,false,,Horsea
base,16,Base,false,,Horsea
base,17,Base,false,,Seadra
base,18,Base,false,,Kingdra GX
base,19,Base,false,,Magikarp
base,20,Base,false,,Gyarados
base,21,Base,false,,Lapras
base,22,Base,false,,Totodile
base,23,Base,false,,Croconaw
base,24,Base,false,,Feraligatr
base,25,Base,false,,Wooper
base,26,Base,false,,Quagsire
base,27,Base,false,,Corsola
base,28,Base,false,,Feebas
base,29,Base,false,,Milotic
base,30,Base,false,,Phione
base,31,Base,false,,Wishiwashi
base,32,Base,false,,Trapinch
base,33,Base,false,,Hydreigon
base,34,Base,false,,Dratini
base,35,Base,false,,Dratini
base,36,Base,false,,Dragonair
base,37,Base,false,,Dragonite GX
base,38,Base,false,,Vibrava
base,39,Base,false,,Flygon
base,40,Base,false,,Altaria
base,41,Base,false,,Altaria GX
base,42,Base,false,,Bagon
base,43,Base,false,,Shelgon
base,44,Base,false,,Salamence GX
base,45,Base,false,,Druddigon
base,46,Base,false,,Zekrom
base,47,Base,false,,Kyurem
base,48,Base,false,,White Kyurem GX
base,49,Base,false,,Zygarde
base,50,Base,false,,Turtonator
base,51,Base,false,,Drampa
base,52,Base,false,,Jangmo-o
base,53,Base,false,,Hakamo-o
base,54,Base,false,,Kommo-o
base,55,Base,false,,Kangaskhan
base,56,Base,false,,Swablu
base,57,Base,false,,Swablu
base,58,Base,false,,Blaine’s Last Stand
base,59,Base,false,,Dragon Talon
base,60,Base,false,,Fiery Flint
base,61,Base,false,,Lance ◇
base,62,Base,false,,Switch Raft
base,63,Base,false,,Wela Volcano Park
base,64,Base,false,,Zinnia
base,65,Base,false,,Reshiram GX
base,66,Base,false,,Kingdra GX
base,67,Base,false,,Dragonite GX
base,68,Base,false,,Altaria GX
base,69,Base,false,,Blaine’s Last Stand
base,70,Base,false,,Zinnia
base,71,Base,false,,Reshiram GX
base,72,Base,false,,Altaria GX
base,73,Base,false,,Salamence GX
base,74,Base,false,,White Kyurem GX
base,75,Base,false,,Dragon Talon
base,76,Base,false,,Fiery Flint
base,77,Base,false,,Switch Raft
base,78,Base,false,,Ultra Necrozma GX
