category,cardNumber,parallel,isAuto,printRun,player
base,SWSH001,Base,false,,Grookey
base,SWSH002,Base,false,,Scorbunny
base,SWSH003,Base,false,,Sobble
base,SWSH004,Base,false,,Meowth V
base,SWSH005,Base,false,,Meowth VMAX
base,SWSH006,Base,false,,Rillaboom
base,SWSH007,Base,false,,Frosmoth
base,SWSH008,Base,false,,Galarian Perrserker
base,SWSH009,Base,false,,Cinccino
base,SWSH010,Base,false,,Gossifleur
base,SWSH011,Base,false,,Wooloo
base,SWSH012,Base,false,,Morpeko
base,SWSH013,Base,false,,Galarian Ponyta
base,SWSH014,Base,false,,Rillaboom V
base,SWSH015,Base,false,,Cinderace V
base,SWSH016,Base,false,,Inteleon V
base,SWSH017,Base,false,,Toxtricity V
base,SWSH018,Base,false,,Zacian V
base,SWSH019,Base,false,,Zamazenta V
base,SWSH020,Base,false,,Pikachu
base,SWSH021,Base,false,,Polteageist V
base,SWSH022,Base,false,,Flapple
base,SWSH023,Base,false,,Luxray
base,SWSH024,Base,false,,Coalossal
base,SWSH025,Base,false,,Garbodor
base,SWSH026,Base,false,,Mantine
base,SWSH027,Base,false,,Noctowl
base,SWSH028,Base,false,,Duraludon
base,SWSH029,Base,false,,Rayquaza
base,SWSH030,Base,false,,Copperajah V
base,SWSH031,Base,false,,Morpeko
base,SWSH032,Base,false,,Snorlax
base,SWSH033,Base,false,,Zacian
base,SWSH034,Base,false,,Zamazenta
base,SWSH035,Base,false,,Decidueye
base,SWSH036,Base,false,,Arctozolt
base,SWSH037,Base,false,,Hydreigon
base,SWSH038,Base,false,,Kangaskhan
base,SWSH039,Base,false,,Pikachu
base,SWSH040,Base,false,,Hatenna
base,SWSH041,Base,false,,Flareon
base,SWSH042,Base,false,,Eevee
base,SWSH043,Base,false,,Galarian Sirfetch'd V
base,SWSH044,Base,false,,Eternatus V
base,SWSH045,Base,false,,Eternatus VMAX
base,SWSH046,Base,false,,Eldegoss
base,SWSH047,Base,false,,Drednaw
base,SWSH048,Base,false,,Centiskorch
base,SWSH049,Base,false,,Dubwool V
base,SWSH050,Base,false,,Charizard V
base,SWSH051,Base,false,,Lapras
base,SWSH052,Base,false,,Gengar
base,SWSH053,Base,false,,Machamp
base,SWSH054,Base,false,,Coalossal
base,SWSH055,Base,false,,Hatterene V
base,SWSH056,Base,false,,Morpeko V
base,SWSH057,Base,false,,Grimmsnarl V
base,SWSH058,Base,false,,Alcremie
base,SWSH059,Base,false,,Galarian Obstagoon
base,SWSH060,Base,false,,Duraludon
base,SWSH061,Base,false,,Pikachu V
base,SWSH062,Base,false,,Pikachu VMAX
base,SWSH063,Base,false,,Pikachu V
base,SWSH064,Base,false,,Eternatus V
base,SWSH065,Base,false,,Eevee V
base,SWSH066,Base,false,,Charizard
base,SWSH067,Base,false,,Donphan
base,SWSH068,Base,false,,Snorlax
base,SWSH069,Base,false,,Lugia
base,SWSH070,Base,false,,Grookey
base,SWSH071,Base,false,,Scorbunny
base,SWSH072,Base,false,,Vaporeon
base,SWSH073,Base,false,,Sobble
base,SWSH074,Base,false,,Special Delivery Pikachu
base,SWSH075,Base,false,,Special Delivery Charizard
base,SWSH076,Base,false,,Zacian V
base,SWSH077,Base,false,,Zamazenta V
base,SWSH078,Base,false,,Orbeetle V
base,SWSH079,Base,false,,Galarian Mr. Rime
base,SWSH080,Base,false,,Dedenne
base,SWSH081,Base,false,,Polteageist
base,SWSH082,Base,false,,Bunnelby
base,SWSH083,Base,false,,Alakazam V
base,SWSH084,Base,false,,Eldegoss V
base,SWSH085,Base,false,,Boltund V
base,SWSH086,Base,false,,Cramorant V
base,SWSH087,Base,false,,Eevee VMAX
base,SWSH088,Base,false,,Cherrim
base,SWSH089,Base,false,,Octillery
base,SWSH090,Base,false,,Houndoom
base,SWSH091,Base,false,,Bronzong
base,SWSH092,Base,false,,Charmander
base,SWSH093,Base,false,,Arrokuda
base,SWSH094,Base,false,,Jolteon
base,SWSH095,Base,false,,Eevee
base,SWSH096,Base,false,,Dragapult V
base,SWSH097,Base,false,,Dragapult VMAX
base,SWSH098,Base,false,,Crobat V
base,SWSH099,Base,false,,Crobat VMAX
base,SWSH100,Base,false,,Venusaur V
base,SWSH101,Base,false,,Blastoise V
base,SWSH102,Base,false,,Venusaur VMAX
base,SWSH103,Base,false,,Blastoise VMAX
base,SWSH104,Base,false,,Victini V
base,SWSH105,Base,false,,Gardevoir V
base,SWSH106,Base,false,,Single Strike Urshifu V
base,SWSH107,Base,false,,Rapid Strike Urshifu V
base,SWSH108,Base,false,,Empoleon V
base,SWSH109,Base,false,,Tyranitar V
base,SWSH110,Base,false,,Crobat V
base,SWSH111,Base,false,,Galarian Rapidash V
base,SWSH112,Base,false,,Cinderace
base,SWSH113,Base,false,,Inteleon
base,SWSH114,Base,false,,Cresselia
base,SWSH115,Base,false,,Passimian
base,SWSH116,Base,false,,Morpeko
base,SWSH117,Base,false,,Phanpy
base,SWSH118,Base,false,,Eevee
base,SWSH119,Base,false,,Snorlax
base,SWSH120,Base,false,,Marnie
base,SWSH121,Base,false,,Marnie
base,SWSH122,Base,false,,Flaaffy
base,SWSH123,Base,false,,Galarian Articuno
base,SWSH124,Base,false,,Galarian Zapdos
base,SWSH125,Base,false,,Galarian Moltres
base,SWSH126,Base,false,,Galarian Slowpoke
base,SWSH127,Base,false,,Eevee
