category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Bulbasaur
base,2,Base,false,,Chikorita
base,3,Base,false,,Treecko
base,4,Base,false,,Turtwig
base,5,Base,false,,Snivy
base,6,Base,false,,Chespin
base,7,Base,false,,Rowlet
base,8,Base,false,,Grookey
base,9,Base,false,,Charmander
base,10,Base,false,,Cyndaquil
base,11,Base,false,,Torchic
base,12,Base,false,,Chimchar
base,13,Base,false,,Tepig
base,14,Base,false,,Fennekin
base,15,Base,false,,Litten
base,16,Base,false,,Scorbunny
base,17,Base,false,,Squirtle
base,18,Base,false,,Totodile
base,19,Base,false,,Mudkip
base,20,Base,false,,Piplup
base,21,Base,false,,Oshawott
base,22,Base,false,,Froakie
base,23,Base,false,,Popplio
base,24,Base,false,,Sobble
base,25,Base,false,,Pikachu
