category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Ho-Oh
base,2,Base,false,,Reshiram
base,3,Base,false,,Kyogre
base,4,Base,false,,Palkia
base,5,Base,false,,Pikachu
base,6,Base,false,,Flying Pikachu V
base,7,Base,false,,Flying Pikachu VMAX
base,8,Base,false,,Surfing Pikachu V
base,9,Base,false,,Surfing Pikachu VMAX
base,10,Base,false,,Zekrom
base,11,Base,false,,Mew
base,12,Base,false,,Xerneas
base,13,Base,false,,Cosmog
base,14,Base,false,,Cosmoem
base,15,Base,false,,Lunala
base,16,Base,false,,Zacian V
base,17,Base,false,,Groudon
base,18,Base,false,,Zamazenta V
base,19,Base,false,,Yveltal
base,20,Base,false,,Dialga
base,21,Base,false,,Solgaleo
base,22,Base,false,,Lugia
base,23,Base,false,,Professor's Research (Professor Oak)
base,24,Base,false,,Professor's Research (Professor Oak)
base,25,Base,false,,Mew
