category,cardNumber,parallel,isAuto,printRun,player
base,CC001,Base,false,,Blastoise
base,CC002,Base,false,,Charizard
base,CC003,Base,false,,Venusaur
base,CC004,Base,false,,Imposter Professor Oak
base,CC005,Base,false,,Dark Gyarados
base,CC006,Base,false,,Here Comes Team Rocket!
base,CC007,Base,false,,Rocket's Zapdos
base,CC008,Base,false,,_____'s Pikachu
base,CC009,Base,false,,Cleffa
base,CC010,Base,false,,Shining Magikarp
base,CC011,Base,false,,Team Magma's Groudon
base,CC012,Base,false,,Rocket's Admin.
base,CC013,Base,false,,Mew ex
base,CC014,Base,false,,Gardevoir ex
base,CC015,Base,false,,Umbreon ☆
base,CC016,Base,false,,Claydol
base,CC017,Base,false,,Luxray GL LV.X
base,CC018,Base,false,,Garchomp C LV.X
base,CC019,Base,false,,Donphan
base,CC020,Base,false,,Reshiram
base,CC021,Base,false,,Zekrom
base,CC022,Base,false,,Mewtwo EX
base,CC023,Base,false,,Xerneas EX
base,CC024,Base,false,,M Rayquaza EX
base,CC025,Base,false,,Tapu Lele GX
