category,cardNumber,parallel,isAuto,printRun,player
base,TG01,Base,false,,Parasect
base,TG02,Base,false,,Roserade
base,TG03,Base,false,,Charizard
base,TG04,Base,false,,Chandelure
base,TG05,Base,false,,Pikachu
base,TG06,Base,false,,Gengar
base,TG07,Base,false,,Banette
base,TG08,Base,false,,Hisuian Arcanine
base,TG09,Base,false,,Spiritomb
base,TG10,Base,false,,Snorlax
base,TG11,Base,false,,Castform
base,TG12,Base,false,,Orbeetle V
base,TG13,Base,false,,Orbeetle VMAX
base,TG14,Base,false,,Centiskorch V
base,TG15,Base,false,,Centiskorch VMAX
base,TG16,Base,false,,Pikachu V
base,TG17,Base,false,,Pikachu VMAX
base,TG18,Base,false,,Enamorus V
base,TG19,Base,false,,Gallade V
base,TG20,Base,false,,Crobat V
base,TG21,Base,false,,Eternatus V
base,TG22,Base,false,,Eternatus VMAX
base,TG23,Base,false,,Adventurer's Discovery
base,TG24,Base,false,,Boss's Orders
base,TG25,Base,false,,Cook
base,TG26,Base,false,,Kabu
base,TG27,Base,false,,Nessa
base,TG28,Base,false,,Opal
base,TG29,Base,false,,Pikachu VMAX
base,TG30,Base,false,,Mew VMAX
