category,cardNumber,parallel,isAuto,printRun,player
base,001,Base,false,,Grass Energy
base,002,Base,false,,Fire Energy
base,003,Base,false,,Water Energy
base,004,Base,false,,Lightning Energy
base,005,Base,false,,Psychic Energy
base,006,Base,false,,Fighting Energy
base,007,Base,false,,Darkness Energy
base,008,Base,false,,Metal Energy
base,009,Base,false,,Grass Energy
base,010,Base,false,,Fire Energy
base,011,Base,false,,Water Energy
base,012,Base,false,,Lightning Energy
base,013,Base,false,,Psychic Energy
base,014,Base,false,,Fighting Energy
base,015,Base,false,,Darkness Energy
base,016,Base,false,,Metal Energy
base,017,Base,false,,Grass Energy
base,018,Base,false,,Fire Energy
base,019,Base,false,,Water Energy
base,020,Base,false,,Lightning Energy
base,021,Base,false,,Psychic Energy
base,022,Base,false,,Fighting Energy
base,023,Base,false,,Darkness Energy
base,024,Base,false,,Metal Energy
