category,cardNumber,parallel,isAuto,printRun,player
base,GG01,Base,false,,Hisuian Voltorb
base,GG02,Base,false,,Kricketune
base,GG03,Base,false,,Magmortar
base,GG04,Base,false,,Oricorio
base,GG05,Base,false,,Lapras
base,GG06,Base,false,,Manaphy
base,GG07,Base,false,,Keldeo
base,GG08,Base,false,,Electivire
base,GG09,Base,false,,Toxtricity
base,GG10,Base,false,,Mew
base,GG11,Base,false,,Lunatone
base,GG12,Base,false,,Deoxys
base,GG13,Base,false,,Diancie
base,GG14,Base,false,,Comfey
base,GG15,Base,false,,Solrock
base,GG16,Base,false,,Absol
base,GG17,Base,false,,Thievul
base,GG18,Base,false,,Magnezone
base,GG19,Base,false,,Altaria
base,GG20,Base,false,,Latias
base,GG21,Base,false,,Hisuian Goodra
base,GG22,Base,false,,Ditto
base,GG23,Base,false,,Dunsparce
base,GG24,Base,false,,Miltank
base,GG25,Base,false,,Bibarel
base,GG26,Base,false,,Riolu
base,GG27,Base,false,,Swablu
base,GG28,Base,false,,Duskull
base,GG29,Base,false,,Bidoof
base,GG30,Base,false,,Pikachu
base,GG31,Base,false,,Turtwig
base,GG32,Base,false,,Paras
base,GG33,Base,false,,Poochyena
base,GG34,Base,false,,Mareep
base,GG35,Base,false,,Leafeon VSTAR
base,GG36,Base,false,,Entei V
base,GG37,Base,false,,Simisear VSTAR
base,GG38,Base,false,,Suicune V
base,GG39,Base,false,,Lumineon V
base,GG40,Base,false,,Glaceon VSTAR
base,GG41,Base,false,,Raikou V
base,GG42,Base,false,,Zeraora VMAX
base,GG43,Base,false,,Zeraora VSTAR
base,GG44,Base,false,,Mewtwo VSTAR
base,GG45,Base,false,,Deoxys VMAX
base,GG46,Base,false,,Deoxys VSTAR
base,GG47,Base,false,,Hatterene VMAX
base,GG48,Base,false,,Zacian V
base,GG49,Base,false,,Drapion V
base,GG50,Base,false,,Darkrai VSTAR
base,GG51,Base,false,,Hisuian Samurott V
base,GG52,Base,false,,Hisuian Samurott VSTAR
base,GG53,Base,false,,Hoopa V
base,GG54,Base,false,,Zamazenta V
base,GG55,Base,false,,Regigigas VSTAR
base,GG56,Base,false,,Hisuian Zoroark VSTAR
base,GG57,Base,false,,Adaman
base,GG58,Base,false,,Cheren's Care
base,GG59,Base,false,,Colress's Experiment
base,GG60,Base,false,,Cynthia's Ambition
base,GG61,Base,false,,Gardenia's Vigor
base,GG62,Base,false,,Grant
base,GG63,Base,false,,Irida
base,GG64,Base,false,,Melony
base,GG65,Base,false,,Raihan
base,GG66,Base,false,,Roxanne
base,GG67,Base,false,,Origin Forme Palkia VSTAR
base,GG68,Base,false,,Origin Forme Dialga VSTAR
base,GG69,Base,false,,Giratina VSTAR
base,GG70,Base,false,,Arceus VSTAR
