category,cardNumber,parallel,isAuto,printRun,player
base,001,Base,false,,Potion
base,002,Base,false,,X Speed
base,003,Base,false,,Hand Scope
base,004,Base,false,,Pokédex
base,005,Base,false,,Poké Ball
base,006,Base,false,,Red Card
base,007,Base,false,,Professor's Research
base,008,Base,false,,Pokédex
base,009,Base,false,,Pikachu
base,010,Base,false,,Mewtwo
base,011,Base,false,,Chansey
base,012,Base,false,,Meowth
base,013,Base,false,,Butterfree
base,014,Base,false,,Lapras ex
base,015,Base,false,,Pikachu
base,016,Base,false,,Clefairy
base,017,Base,false,,Mankey
base,018,Base,false,,Venusaur
base,019,Base,false,,Greninja
base,020,Base,false,,Haunter
base,021,Base,false,,Onix
base,022,Base,false,,Jigglypuff
base,023,Base,false,,Bulbasaur
base,024,Base,false,,Magnemite
base,025,Base,false,,Moltres ex
base,026,Base,false,,Pikachu
base,027,Base,false,,Snivy
base,028,Base,false,,Volcarona
base,029,Base,false,,Blastoise
base,030,Base,false,,Eevee
base,031,Base,false,,Cinccino
base,032,Base,false,,Charmander
base,033,Base,false,,Squirtle
base,034,Base,false,,Piplup
base,035,Base,false,,Turtwig
base,036,Base,false,,Electivire
base,037,Base,false,,Cresselia ex
base,038,Base,false,,Misdreavus
base,039,Base,false,,Skarmory
base,040,Base,false,,Chimchar
base,041,Base,false,,Togepi
base,042,Base,false,,Darkrai ex
base,043,Base,false,,Cherrim
base,044,Base,false,,Raichu
base,045,Base,false,,Nosepass
base,046,Base,false,,Gible
base,047,Base,false,,Staraptor
base,048,Base,false,,Manaphy
base,049,Base,false,,Snorlax
base,050,Base,false,,Mewtwo ex
base,051,Base,false,,Cyclizar
base,052,Base,false,,Sprigatito
base,053,Base,false,,Floatzel
base,054,Base,false,,Pawmot
base,055,Base,false,,Machamp
base,056,Base,false,,Ekans
base,057,Base,false,,Bidoof
base,058,Base,false,,Pachirisu
base,059,Base,false,,Riolu
base,060,Base,false,,Exeggcute
base,061,Base,false,,Froakie
base,062,Base,false,,Farfetch'd
base,063,Base,false,,Rayquaza
base,064,Base,false,,Rayquaza ex
base,065,Base,false,,Rayquaza ex
base,066,Base,false,,Mimikyu
base,067,Base,false,,Cosmog
base,068,Base,false,,Lycanroc
base,069,Base,false,,Alolan Exeggutor
base,070,Base,false,,Alolan Ninetales
base,071,Base,false,,Crabrawler
base,072,Base,false,,Alolan Grimer
base,073,Base,false,,Toucannon
base,074,Base,false,,Zeraora
base,075,Base,false,,Kartana
base,076,Base,false,,Blacephalon
base,077,Base,false,,Xurkitree
base,078,Base,false,,Dawn Wings Necrozma
base,079,Base,false,,Dusk Mane Necrozma
base,080,Base,false,,Stakataka
base,081,Base,false,,Ultra Necrozma ex
base,082,Base,false,,Poipole
base,083,Base,false,,Stufful
base,084,Base,false,,Tapu Koko ex
base,085,Base,false,,Vanillite
base,086,Base,false,,Jolteon
base,087,Base,false,,Alcremie
base,088,Base,false,,Dragonair
base,089,Base,false,,Audino
base,090,Base,false,,Togedemaru
base,091,Base,false,,Greedent
base,092,Base,false,,Eevee
base,093,Base,false,,Cleffa
base,094,Base,false,,Horsea
base,095,Base,false,,Chinchou
base,096,Base,false,,Houndoom
base,097,Base,false,,Kangaskhan
base,098,Base,false,,Blissey ex
base,099,Base,false,,Marill
base,100,Base,false,,Weavile
