category,cardNumber,parallel,isAuto,printRun,player
base,001,Base,false,,Weedle
base,002,Base,false,,Kakuna
base,003,Base,false,,Beedrill ex
base,004,Base,false,,Pinsir
base,005,Base,false,,Sprigatito
base,006,Base,false,,Floragato
base,007,Base,false,,Meowscarada
base,008,Base,false,,Charmander
base,009,Base,false,,Charmeleon
base,010,Base,false,,Charizard ex
base,011,Base,false,,Magmar
base,012,Base,false,,Magmortar
base,013,Base,false,,Paldean Tauros
base,014,Base,false,,Tentacool
base,015,Base,false,,Tentacruel
base,016,Base,false,,Buizel
base,017,Base,false,,Floatzel
base,018,Base,false,,Wiglett
base,019,Base,false,,Wugtrio ex
base,020,Base,false,,Dondozo
base,021,Base,false,,Tatsugiri
base,022,Base,false,,Pikachu ex
base,023,Base,false,,Voltorb
base,024,Base,false,,Electrode
base,025,Base,false,,Pachirisu
base,026,Base,false,,Pawmi
base,027,Base,false,,Pawmo
base,028,Base,false,,Pawmot
base,029,Base,false,,Abra
base,030,Base,false,,Kadabra
base,031,Base,false,,Alakazam
base,032,Base,false,,Mr. Mime
base,033,Base,false,,Drifloon
base,034,Base,false,,Drifblim
base,035,Base,false,,Giratina ex
base,036,Base,false,,Gimmighoul
base,037,Base,false,,Machop
base,038,Base,false,,Machoke
base,039,Base,false,,Machamp
base,040,Base,false,,Hitmonlee
base,041,Base,false,,Hitmonchan
base,042,Base,false,,Riolu
base,043,Base,false,,Lucario ex
base,044,Base,false,,Flamigo
base,045,Base,false,,Ekans
base,046,Base,false,,Arbok
base,047,Base,false,,Paldean Wooper
base,048,Base,false,,Paldean Clodsire ex
base,049,Base,false,,Spiritomb
base,050,Base,false,,Shroodle
base,051,Base,false,,Grafaiai
base,052,Base,false,,Tinkatink
base,053,Base,false,,Tinkatuff
base,054,Base,false,,Tinkaton ex
base,055,Base,false,,Varoom
base,056,Base,false,,Revavroom
base,057,Base,false,,Gholdengo
base,058,Base,false,,Rattata
base,059,Base,false,,Raticate
base,060,Base,false,,Jigglypuff
base,061,Base,false,,Wigglytuff
base,062,Base,false,,Lickitung
base,063,Base,false,,Lickilicky
base,064,Base,false,,Bidoof
base,065,Base,false,,Bibarel ex
base,066,Base,false,,Buneary
base,067,Base,false,,Lopunny
base,068,Base,false,,Cyclizar
base,069,Base,false,,Iono
base,070,Base,false,,Pokémon Center Lady
base,071,Base,false,,Red
base,072,Base,false,,Team Rocket Grunt
base,073,Base,false,,Meowscarada
base,074,Base,false,,Buizel
base,075,Base,false,,Tatsugiri
base,076,Base,false,,Grafaiai
base,077,Base,false,,Gholdengo
base,078,Base,false,,Wigglytuff
base,079,Base,false,,Beedrill ex
base,080,Base,false,,Charizard ex
base,081,Base,false,,Wugtrio ex
base,082,Base,false,,Pikachu ex
base,083,Base,false,,Giratina ex
base,084,Base,false,,Lucario ex
base,085,Base,false,,Paldean Clodsire ex
base,086,Base,false,,Tinkaton ex
base,087,Base,false,,Bibarel ex
base,088,Base,false,,Iono
base,089,Base,false,,Pokémon Center Lady
base,090,Base,false,,Red
base,091,Base,false,,Team Rocket Grunt
base,092,Base,false,,Pikachu ex
base,093,Base,false,,Paldean Clodsire ex
base,094,Base,false,,Tinkaton ex
base,095,Base,false,,Bibarel ex
base,096,Base,false,,Giratina ex
base,097,Base,false,,Weedle
base,098,Base,false,,Kakuna
base,099,Base,false,,Charmander
base,100,Base,false,,Charmeleon
base,101,Base,false,,Wiglett
base,102,Base,false,,Dondozo
base,103,Base,false,,Pachirisu
base,104,Base,false,,Riolu
base,105,Base,false,,Varoom
base,106,Base,false,,Revavroom
base,107,Base,false,,Beedrill ex
base,108,Base,false,,Charizard ex
base,109,Base,false,,Wugtrio ex
base,110,Base,false,,Lucario ex
base,111,Base,false,,Poké Ball
