category,cardNumber,parallel,isAuto,printRun,player
base,001,Base,false,,Petilil
base,002,Base,false,,Lilligant
base,003,Base,false,,Rowlet
base,004,Base,false,,Dartrix
base,005,Base,false,,Decidueye
base,006,Base,false,,Buzzwole ex
base,007,Base,false,,Pheromosa
base,008,Base,false,,Kartana
base,009,Base,false,,Blacephalon
base,010,Base,false,,Mantine
base,011,Base,false,,Carvanha
base,012,Base,false,,Sharpedo
base,013,Base,false,,Shinx
base,014,Base,false,,Luxio
base,015,Base,false,,Luxray
base,016,Base,false,,Blitzle
base,017,Base,false,,Zebstrika
base,018,Base,false,,Emolga
base,019,Base,false,,Tapu Koko ex
base,020,Base,false,,Xurkitree
base,021,Base,false,,Zeraora
base,022,Base,false,,Clefairy
base,023,Base,false,,Clefable
base,024,Base,false,,Phantump
base,025,Base,false,,Trevenant
base,026,Base,false,,Morelull
base,027,Base,false,,Shiinotic
base,028,Base,false,,Meditite
base,029,Base,false,,Medicham
base,030,Base,false,,Baltoy
base,031,Base,false,,Claydol
base,032,Base,false,,Rockruff
base,033,Base,false,,Lycanroc ex
base,034,Base,false,,Passimian
base,035,Base,false,,Sandygast
base,036,Base,false,,Palossand
base,037,Base,false,,Alolan Meowth
base,038,Base,false,,Alolan Persian
base,039,Base,false,,Sandile
base,040,Base,false,,Krokorok
base,041,Base,false,,Krookodile
base,042,Base,false,,Nihilego
base,043,Base,false,,Guzzlord ex
base,044,Base,false,,Poipole
base,045,Base,false,,Naganadel
base,046,Base,false,,Alolan Diglett
base,047,Base,false,,Alolan Dugtrio ex
base,048,Base,false,,Aron
base,049,Base,false,,Lairon
base,050,Base,false,,Aggron
base,051,Base,false,,Ferroseed
base,052,Base,false,,Ferrothorn
base,053,Base,false,,Stakataka
base,054,Base,false,,Lillipup
base,055,Base,false,,Herdier
base,056,Base,false,,Stoutland
base,057,Base,false,,Stufful
base,058,Base,false,,Bewear
base,059,Base,false,,Oranguru
base,060,Base,false,,Type: Null
base,061,Base,false,,Silvally
base,062,Base,false,,Celesteela
base,063,Base,false,,Beast Wall
base,064,Base,false,,Repel
base,065,Base,false,,Electrical Cord
base,066,Base,false,,Beastite
base,067,Base,false,,Gladion
base,068,Base,false,,Looker
base,069,Base,false,,Lusamine
base,070,Base,false,,Rowlet
base,071,Base,false,,Pheromosa
base,072,Base,false,,Blacephalon
base,073,Base,false,,Alolan Meowth
base,074,Base,false,,Silvally
base,075,Base,false,,Celesteela
base,076,Base,false,,Buzzwole ex
base,077,Base,false,,Tapu Koko ex
base,078,Base,false,,Lycanroc ex
base,079,Base,false,,Guzzlord ex
base,080,Base,false,,Alolan Dugtrio ex
base,081,Base,false,,Gladion
base,082,Base,false,,Looker
base,083,Base,false,,Lusamine
base,084,Base,false,,Tapu Koko ex
base,085,Base,false,,Lycanroc ex
base,086,Base,false,,Guzzlord ex
base,087,Base,false,,Alolan Dugtrio ex
base,088,Base,false,,Buzzwole ex
base,089,Base,false,,Growlithe
base,090,Base,false,,Arcanine
base,091,Base,false,,Froakie
base,092,Base,false,,Frogadier
base,093,Base,false,,Greninja
base,094,Base,false,,Jynx
base,095,Base,false,,Pidgey
base,096,Base,false,,Pidgeotto
base,097,Base,false,,Pidgeot
base,098,Base,false,,Aerodactyl
base,099,Base,false,,Celebi ex
base,100,Base,false,,Arcanine ex
base,101,Base,false,,Aerodactyl ex
base,102,Base,false,,Pidgeot ex
base,103,Base,false,,Nihilego
