category,cardNumber,parallel,isAuto,printRun,player
base,001,Base,false,,Meganium
base,002,Base,false,,Inteleon
base,003,Base,false,,Alakazam
base,004,Base,false,,Lunatone
base,005,Base,false,,Drifloon
base,006,Base,false,,Drifblim
base,007,Base,false,,Psyduck
base,008,Base,false,,Golduck
base,009,Base,false,,Alakazam
base,010,Base,false,,Riolu
base,011,Base,false,,Mega Latias ex
base,012,Base,false,,Mega Lucario ex
base,013,Base,false,,Mega Venusaur ex
base,014,Base,false,,Ceruledge
base,015,Base,false,,Zacian
base,016,Base,false,,Flygon
base,017,Base,false,,Toxtricity
base,018,Base,false,,Cottonee
base,019,Base,false,,Whimsicott
base,020,Base,false,,Sneasel
base,021,Base,false,,Weavile
base,022,Base,false,,Charcadet
base,023,Base,false,,Mega Charizard X ex
base,024,Base,false,,Oricorio ex
base,025,Base,false,,Mega Kangaskhan ex
base,026,Base,false,,Meloetta
base,027,Base,false,,Haunter
base,028,Base,false,,Celebratory Fanfare
base,029,Base,false,,Mega Charizard X ex
base,030,Base,false,,Mega Charizard Y ex
base,031,Base,false,,N's Zekrom
base,032,Base,false,,Mega Gardevoir ex
base,033,Base,false,,Mega Lucario ex
base,034,Base,false,,Mega Meganium ex
base,035,Base,false,,Mega Emboar ex
base,036,Base,false,,Mega Feraligatr ex
base,037,Base,false,,Bulbasaur
base,038,Base,false,,Charmander
base,039,Base,false,,Squirtle
base,040,Base,false,,Turtwig
base,041,Base,false,,Chimchar
base,042,Base,false,,Piplup
base,043,Base,false,,Rowlet
base,044,Base,false,,Litten
base,045,Base,false,,Popplio
base,064,Base,false,,Serperior
base,065,Base,false,,Barbaracle
base,066,Base,false,,Tyrantrum
base,067,Base,false,,Doublade
base,068,Base,false,,Makuhita
base,069,Base,false,,Chikorita
base,070,Base,false,,Tyrunt
base,071,Base,false,,Mega Zygarde ex
base,074,Base,false,,Delphox
base,075,Base,false,,Ampharos
base,076,Base,false,,Crobat
base,077,Base,false,,Goodra
base,078,Base,false,,Toxel
base,079,Base,false,,Charmeleon
base,080,Base,false,,Fennekin
