category,cardNumber,parallel,isAuto,printRun,player
base,001,Base,false,,Snivy
base,002,Base,false,,Servine
base,003,Base,false,,Serperior ex
base,004,Base,false,,Pansage
base,005,Base,false,,Simisage
base,006,Base,false,,Petilil
base,007,Base,false,,Lilligant
base,008,Base,false,,Maractus
base,009,Base,false,,Karrablast
base,010,Base,false,,Foongus
base,011,Base,false,,Amoonguss
base,012,Base,false,,Victini
base,013,Base,false,,Darumaka
base,014,Base,false,,Darmanitan
base,015,Base,false,,Larvesta
base,016,Base,false,,Volcarona
base,017,Base,false,,Panpour
base,018,Base,false,,Simipour
base,019,Base,false,,Tympole
base,020,Base,false,,Palpitoad
base,021,Base,false,,Seismitoad
base,022,Base,false,,Tirtouga
base,023,Base,false,,Carracosta
base,024,Base,false,,Alomomola
base,025,Base,false,,Cubchoo
base,026,Base,false,,Beartic
base,027,Base,false,,Cryogonal
base,028,Base,false,,Kyurem ex
base,029,Base,false,,Emolga
base,030,Base,false,,Tynamo
base,031,Base,false,,Eelektrik
base,032,Base,false,,Eelektross
base,033,Base,false,,Thundurus
base,034,Base,false,,Zekrom ex
base,035,Base,false,,Munna
base,036,Base,false,,Musharna
base,037,Base,false,,Solosis
base,038,Base,false,,Duosion
base,039,Base,false,,Reuniclus
base,040,Base,false,,Elgyem
base,041,Base,false,,Beheeyem
base,042,Base,false,,Golett
base,043,Base,false,,Golurk
base,044,Base,false,,Meloetta ex
base,045,Base,false,,Drilbur
base,046,Base,false,,Excadrill ex
base,047,Base,false,,Timburr
base,048,Base,false,,Gurdurr
base,049,Base,false,,Conkeldurr
base,050,Base,false,,Throh
base,051,Base,false,,Dwebble
base,052,Base,false,,Crustle
base,053,Base,false,,Landorus
base,054,Base,false,,Venipede
base,055,Base,false,,Whirlipede
base,056,Base,false,,Scolipede
base,057,Base,false,,Sandile
base,058,Base,false,,Krokorok
base,059,Base,false,,Krookodile
base,060,Base,false,,Escavalier
base,061,Base,false,,Klink
base,062,Base,false,,Klang
base,063,Base,false,,Klinklang
base,064,Base,false,,Pawniard
base,065,Base,false,,Bisharp
base,066,Base,false,,Cobalion
base,067,Base,false,,Genesect ex
base,068,Base,false,,Axew
base,069,Base,false,,Fraxure
base,070,Base,false,,Haxorus
base,071,Base,false,,Pidove
base,072,Base,false,,Tranquill
base,073,Base,false,,Unfezant
base,074,Base,false,,Audino
base,075,Base,false,,Minccino
base,076,Base,false,,Cinccino
base,077,Base,false,,Rufflet
base,078,Base,false,,Braviary
base,079,Base,false,,Air Balloon
base,080,Base,false,,Antique Cover Fossil
base,081,Base,false,,Energy Coin
base,082,Base,false,,Fennel
base,083,Base,false,,N's Plan
base,084,Base,false,,Pokégear 3.0
base,085,Base,false,,Professor's Research
base,086,Base,false,,Prism Energy
base,087,Base,false,,Snivy
base,088,Base,false,,Servine
base,089,Base,false,,Pansage
base,090,Base,false,,Simisage
base,091,Base,false,,Petilil
base,092,Base,false,,Lilligant
base,093,Base,false,,Maractus
base,094,Base,false,,Karrablast
base,095,Base,false,,Foongus
base,096,Base,false,,Amoonguss
base,097,Base,false,,Darumaka
base,098,Base,false,,Darmanitan
base,099,Base,false,,Larvesta
base,100,Base,false,,Volcarona
base,101,Base,false,,Panpour
base,102,Base,false,,Simipour
base,103,Base,false,,Tympole
base,104,Base,false,,Palpitoad
base,105,Base,false,,Seismitoad
base,106,Base,false,,Tirtouga
base,107,Base,false,,Carracosta
base,108,Base,false,,Alomomola
base,109,Base,false,,Cubchoo
base,110,Base,false,,Beartic
base,111,Base,false,,Cryogonal
base,112,Base,false,,Emolga
base,113,Base,false,,Tynamo
base,114,Base,false,,Eelektrik
base,115,Base,false,,Eelektross
base,116,Base,false,,Munna
base,117,Base,false,,Musharna
base,118,Base,false,,Solosis
base,119,Base,false,,Duosion
base,120,Base,false,,Elgyem
base,121,Base,false,,Beheeyem
base,122,Base,false,,Golett
base,123,Base,false,,Golurk
base,124,Base,false,,Drilbur
base,125,Base,false,,Timburr
base,126,Base,false,,Gurdurr
base,127,Base,false,,Conkeldurr
base,128,Base,false,,Throh
base,129,Base,false,,Dwebble
base,130,Base,false,,Crustle
base,131,Base,false,,Landorus
base,132,Base,false,,Venipede
base,133,Base,false,,Whirlipede
base,134,Base,false,,Scolipede
base,135,Base,false,,Sandile
base,136,Base,false,,Krokorok
base,137,Base,false,,Krookodile
base,138,Base,false,,Escavalier
base,139,Base,false,,Klink
base,140,Base,false,,Klang
base,141,Base,false,,Klinklang
base,142,Base,false,,Pawniard
base,143,Base,false,,Bisharp
base,144,Base,false,,Cobalion
base,145,Base,false,,Axew
base,146,Base,false,,Fraxure
base,147,Base,false,,Haxorus
base,148,Base,false,,Pidove
base,149,Base,false,,Tranquill
base,150,Base,false,,Unfezant
base,151,Base,false,,Audino
base,152,Base,false,,Minccino
base,153,Base,false,,Cinccino
base,154,Base,false,,Rufflet
base,155,Base,false,,Braviary
base,156,Base,false,,Serperior ex
base,157,Base,false,,Kyurem ex
base,158,Base,false,,Zekrom ex
base,159,Base,false,,Meloetta ex
base,160,Base,false,,Excadrill ex
base,161,Base,false,,Genesect ex
base,162,Base,false,,Fennel
base,163,Base,false,,N's Plan
base,164,Base,false,,Serperior ex
base,165,Base,false,,Kyurem ex
base,166,Base,false,,Zekrom ex
base,167,Base,false,,Meloetta ex
base,168,Base,false,,Excadrill ex
base,169,Base,false,,Genesect ex
base,170,Base,false,,N's Plan
base,171,Base,false,,Victini
base,172,Base,false,,Zekrom ex
