category,cardNumber,parallel,isAuto,printRun,player
base,001,Base,false,,Tropius
base,002,Base,false,,Grubbin
base,003,Base,false,,Fomantis
base,004,Base,false,,Lurantis ex
base,005,Base,false,,Poltchageist
base,006,Base,false,,Sinistcha
base,007,Base,false,,Heatran
base,008,Base,false,,Mega Delphox ex
base,009,Base,false,,Sizzlipede
base,010,Base,false,,Centiskorch
base,011,Base,false,,Charcadet
base,012,Base,false,,Armarouge
base,013,Base,false,,Goldeen
base,014,Base,false,,Seaking
base,015,Base,false,,Wailmer
base,016,Base,false,,Wailord ex
base,017,Base,false,,Relicanth
base,018,Base,false,,Popplio
base,019,Base,false,,Brionne
base,020,Base,false,,Primarina
base,021,Base,false,,Finizen
base,022,Base,false,,Palafin
base,023,Base,false,,Electrike
base,024,Base,false,,Manectric
base,025,Base,false,,Charjabug
base,026,Base,false,,Vikavolt
base,027,Base,false,,Mega Zeraora ex
base,028,Base,false,,Miraidon
base,029,Base,false,,Slowpoke
base,030,Base,false,,Slowbro
base,031,Base,false,,Mega Slowbro ex
base,032,Base,false,,Jynx
base,033,Base,false,,Shuppet
base,034,Base,false,,Banette
base,035,Base,false,,Spiritomb
base,036,Base,false,,Litwick
base,037,Base,false,,Lampent
base,038,Base,false,,Mega Chandelure ex
base,039,Base,false,,Dhelmise
base,040,Base,false,,Marshadow
base,041,Base,false,,Annihilape
base,042,Base,false,,Mankey
base,043,Base,false,,Primeape
base,044,Base,false,,Cranidos
base,045,Base,false,,Rampardos ex
base,046,Base,false,,Drilbur
base,047,Base,false,,Koraidon
base,048,Base,false,,Mega Darkrai ex
base,049,Base,false,,Vullaby
base,050,Base,false,,Mandibuzz
base,051,Base,false,,Inkay
base,052,Base,false,,Malamar
base,053,Base,false,,Nickit
base,054,Base,false,,Thievul
base,055,Base,false,,Morpeko ex
base,056,Base,false,,Zarude
base,057,Base,false,,Maschiff
base,058,Base,false,,Mabosstiff
base,059,Base,false,,Chi-Yu
base,060,Base,false,,Skarmory
base,061,Base,false,,Shieldon
base,062,Base,false,,Bastiodon
base,063,Base,false,,Bronzor
base,064,Base,false,,Bronzong
base,065,Base,false,,Mega Excadrill ex
base,066,Base,false,,Pikipek
base,067,Base,false,,Trumbeak
base,068,Base,false,,Toucannon
base,069,Base,false,,Type: Null
base,070,Base,false,,Silvally
base,071,Base,false,,Bombirdier
base,072,Base,false,,Antique Armor Fossil
base,073,Base,false,,Antique Skull Fossil
base,074,Base,false,,Backtrack Badge
base,075,Base,false,,Dark Bell
base,076,Base,false,,Fossil Quarry
base,077,Base,false,,Gladion's Final Battle
base,078,Base,false,,Gwynn
base,079,Base,false,,Jett
base,080,Base,false,,Misty's Vitality
base,081,Base,false,,Rust Syndicate Grunt
base,082,Base,false,,Tremendous Bomb
base,083,Base,false,,Shadowy Darkness Energy
base,084,Base,false,,Voltaic Lightning Energy
base,085,Base,false,,Fomantis
base,086,Base,false,,Armarouge
base,087,Base,false,,Goldeen
base,088,Base,false,,Primarina
base,089,Base,false,,Manectric
base,090,Base,false,,Slowbro
base,091,Base,false,,Dhelmise
base,092,Base,false,,Thievul
base,093,Base,false,,Bastiodon
base,094,Base,false,,Toucannon
base,095,Base,false,,Silvally
base,096,Base,false,,Lurantis ex
base,097,Base,false,,Wailord ex
base,098,Base,false,,Mega Zeraora ex
base,099,Base,false,,Mega Chandelure ex
base,100,Base,false,,Rampardos ex
base,101,Base,false,,Mega Darkrai ex
base,102,Base,false,,Morpeko ex
base,103,Base,false,,Mega Excadrill ex
base,104,Base,false,,Brave Bangle
base,105,Base,false,,Crushing Hammer
base,106,Base,false,,Dark Bell
base,107,Base,false,,Energy Switch
base,108,Base,false,,Gladion's Final Battle
base,109,Base,false,,Gwynn
base,110,Base,false,,Iron Defender
base,111,Base,false,,Misty's Vitality
base,112,Base,false,,Rust Syndicate Grunt
base,113,Base,false,,Tremendous Bomb
base,114,Base,false,,Mega Zeraora ex
base,115,Base,false,,Mega Chandelure ex
base,116,Base,false,,Mega Darkrai ex
base,117,Base,false,,Morpeko ex
base,118,Base,false,,Gladion's Final Battle
base,119,Base,false,,Gwynn
base,120,Base,false,,Mega Darkrai ex
