category,cardNumber,parallel,isAuto,printRun,player
insert-flair-hardwood-leader,1,Base,false,,Mookie Blaylock
insert-flair-hardwood-leader,2,Base,false,,Dominique Wilkins
insert-flair-hardwood-leader,3,Base,false,,Alonzo Mourning
insert-flair-hardwood-leader,4,Base,false,,Michael Jordan
insert-flair-hardwood-leader,5,Base,false,,Mark Price
insert-flair-hardwood-leader,6,Base,false,,Jim Jackson
insert-flair-hardwood-leader,7,Base,false,,Dikembe Mutombo
insert-flair-hardwood-leader,8,Base,false,,Grant Hill
insert-flair-hardwood-leader,9,Base,false,,Tim Hardaway
insert-flair-hardwood-leader,10,Base,false,,Hakeem Olajuwon
insert-flair-hardwood-leader,11,Base,false,,Reggie Miller
insert-flair-hardwood-leader,12,Base,false,,Loy Vaught
insert-flair-hardwood-leader,13,Base,false,,Cedric Ceballos
insert-flair-hardwood-leader,14,Base,false,,Glen Rice
insert-flair-hardwood-leader,15,Base,false,,Glenn Robinson
insert-flair-hardwood-leader,16,Base,false,,Christian Laettner
insert-flair-hardwood-leader,17,Base,false,,Derrick Coleman
insert-flair-hardwood-leader,18,Base,false,,Patrick Ewing
insert-flair-hardwood-leader,19,Base,false,,Shaquille O'Neal
insert-flair-hardwood-leader,20,Base,false,,Dana Barros
insert-flair-hardwood-leader,21,Base,false,,Charles Barkley
insert-flair-hardwood-leader,22,Base,false,,Clifford Robinson
insert-flair-hardwood-leader,23,Base,false,,Mitch Richmond
insert-flair-hardwood-leader,24,Base,false,,David Robinson
insert-flair-hardwood-leader,25,Base,false,,Gary Payton
insert-flair-hardwood-leader,26,Base,false,,Karl Malone
insert-flair-hardwood-leader,27,Base,false,,Chris Webber
