category,cardNumber,parallel,isAuto,printRun,player
insert-rookie-phenom,1,Rookie Phenom,false,,Kevin Garnett
insert-rookie-phenom,2,Rookie Phenom,false,,Antonio McDyess
insert-rookie-phenom,3,Rookie Phenom,false,,Ed O'Bannon
insert-rookie-phenom,4,Rookie Phenom,false,,Bryant Reeves
insert-rookie-phenom,5,Rookie Phenom,false,,Shawn Respert
insert-rookie-phenom,6,Rookie Phenom,false,,Joe Smith
insert-rookie-phenom,7,Rookie Phenom,false,,Jerry Stackhouse
insert-rookie-phenom,8,Rookie Phenom,false,,Damon Stoudamire
insert-rookie-phenom,9,Rookie Phenom,false,,Gary Trent
insert-rookie-phenom,10,Rookie Phenom,false,,Rasheed Wallace
