category,cardNumber,parallel,isAuto,printRun,player
insert-total-o-hot-pack,1,Base,false,,Grant Hill
insert-total-o-hot-pack,2,Base,false,,Michael Jordan
insert-total-o-hot-pack,3,Base,false,,Jamal Mashburn
insert-total-o-hot-pack,4,Base,false,,Reggie Miller
insert-total-o-hot-pack,5,Base,false,,Hakeem Olajuwon
insert-total-o-hot-pack,6,Base,false,,Shaquille O'Neal
insert-total-o-hot-pack,7,Base,false,,Mitch Richmond
insert-total-o-hot-pack,8,Base,false,,David Robinson
insert-total-o-hot-pack,9,Base,false,,Glenn Robinson
insert-total-o-hot-pack,10,Base,false,,Jerry Stackhouse
