category,cardNumber,parallel,isAuto,printRun,player
insert-tower-of-power,1,Base,false,,Shawn Kemp
insert-tower-of-power,2,Base,false,,Karl Malone
insert-tower-of-power,3,Base,false,,Antonio McDyess
insert-tower-of-power,4,Base,false,,Alonzo Mourning
insert-tower-of-power,5,Base,false,,Hakeem Olajuwon
insert-tower-of-power,6,Base,false,,Shaquille O'Neal
insert-tower-of-power,7,Base,false,,David Robinson
insert-tower-of-power,8,Base,false,,Glenn Robinson
insert-tower-of-power,9,Base,false,,Joe Smith
insert-tower-of-power,10,Base,false,,Chris Webber
