category,cardNumber,parallel,isAuto,printRun,player
base,1,,false,,Stacey Augmon
base,2,,false,,Mookie Blaylock
base,3,,false,,Craig Ehlo
base,4,,false,,Andrew Lang
base,5,,false,,Grant Long
base,6,,false,,Ken Norman
base,7,,false,,Steve Smith
base,8,,false,,Spud Webb
base,9,,false,,Dee Brown
base,10,,false,,Sherman Douglas
base,11,,false,,Pervis Ellison
base,12,,false,,Rick Fox
base,13,,false,,Eric Montross
base,14,,false,,Dino Radja
base,15,,false,,David Wesley
base,16,,false,,Dominique Wilkins
base,17,,false,,Muggsy Bogues
base,18,,false,,Scott Burrell
base,19,,false,,Dell Curry
base,20,,false,,Kendall Gill
base,21,,false,,Larry Johnson
base,22,,false,,Alonzo Mourning
base,23,,false,,Robert Parish
base,24,,false,,Ron Harper
base,25,,false,,Michael Jordan
base,26,,false,,Toni Kukoc
base,27,,false,,Will Perdue
base,28,,false,,Scottie Pippen
base,29,,false,,Terrell Brandon
base,30,,false,,Michael Cage
base,31,,false,,Tyrone Hill
base,32,,false,,Chris Mills
base,33,,false,,Bobby Phills
base,34,,false,,Mark Price
base,35,,false,,John Williams
base,36,,false,,Lucious Harris
base,37,,false,,Jim Jackson
base,38,,false,,Popeye Jones
base,39,,false,,Jason Kidd
base,40,,false,,Jamal Mashburn
base,41,,false,,George McCloud
base,42,,false,,Roy Tarpley
base,43,,false,,Lorenzo Williams
base,44,,false,,Mahmoud Abdul-Rauf
base,45,,false,,Dikembe Mutombo
base,46,,false,,Robert Pack
base,47,,false,,Jalen Rose
base,48,,false,,Bryant Stith
base,49,,false,,Brian Williams
base,50,,false,,Reggie Williams
base,51,,false,,Joe Dumars
base,52,,false,,Grant Hill
base,53,,false,,Allan Houston
base,54,,false,,Lindsey Hunter
base,55,,false,,Terry Mills
base,56,,false,,Mark West
base,57,,false,,Chris Gatling
base,58,,false,,Tim Hardaway
base,59,,false,,Donyell Marshall
base,60,,false,,Chris Mullin
base,61,,false,,Carlos Rogers
base,62,,false,,Clifford Rozier
base,63,,false,,Rony Seikaly
base,64,,false,,Latrell Sprewell
base,65,,false,,Sam Cassell
base,66,,false,,Clyde Drexler
base,67,,false,,Mario Elie
base,68,,false,,Carl Herrera
base,69,,false,,Robert Horry
base,70,,false,,Hakeem Olajuwon
base,71,,false,,Kenny Smith
base,72,,false,,Antonio Davis
base,73,,false,,Dale Davis
base,74,,false,,Mark Jackson
base,75,,false,,Derrick McKey
base,76,,false,,Reggie Miller
base,77,,false,,Rik Smits
base,78,,false,,Terry Dehere
