category,cardNumber,parallel,isAuto,printRun,player
base,001,Double rare,false,,beedrill
base,002,,false,,voltorb
base,003,,false,,electrode
base,004,,false,,kricketot
base,005,,false,,kricketune
base,006,,false,,rowlet
base,007,,false,,dartrix
base,008,,false,,blipbug
base,009,,false,,dottler
base,010,,false,,orbeetle
base,011,,false,,ponyta
base,012,,false,,rapidash
base,013,,false,,torkoal
base,014,Double rare,false,,heatran
base,015,Triple Rare,false,,heatran
base,016,,false,,psyduck
base,017,,false,,golduck
base,018,,false,,luvdisc
base,019,,false,,regice
base,020,,false,,shellos
base,021,,false,,glaceon
base,022,Double rare,false,,palkia
base,023,Triple Rare,false,,palkia
base,024,,false,,bergmite
base,025,,false,,avalugg
base,026,,false,,togepi
base,027,,false,,togetic
base,028,,false,,togekiss
base,029,,false,,uxie
base,030,,false,,mesprit
base,031,,false,,azelf
base,032,,false,,inkay
base,033,,false,,malamar
base,034,,false,,makuhita
base,035,,false,,hariyama
base,036,,false,,regirock
base,037,,false,,gastrodon
base,038,,false,,carbink
base,039,,false,,decidueye
base,040,Double rare,false,,kleavor
base,041,Triple Rare,false,,kleavor
base,042,,false,,sneasel
base,043,,false,,sneasler
base,044,Double rare,false,,sneasler
base,045,,false,,darkrai
base,046,,false,,shieldon
base,047,,false,,bastiodon
base,048,,false,,bronzor
base,049,,false,,bronzong
base,050,,false,,magearna
base,051,,false,,regidrago
base,052,,false,,lickitung
base,053,,false,,lickilicky
base,054,,false,,eevee
base,055,,false,,teddiursa
base,056,,false,,ursaring
base,057,,false,,ursaluna
base,058,Double rare,false,,oranguru
base,059,,false,,komala
base,060,,false,,エネくじ
base,061,,false,,なぞの化石
base,062,,false,,ヒスイのヘビーボール
base,063,,false,,ばつぐんグラス
base,064,,false,,カイ
base,065,,false,,ザクロ
base,066,,false,,タイサイ
base,067,,false,,シンオウ神殿
base,068,Ultra Rare,false,,beedrill
base,069,Ultra Rare,false,,beedrill
base,070,Ultra Rare,false,,palkia
base,071,Ultra Rare,false,,palkia
base,072,Ultra Rare,false,,heatran
base,073,Ultra Rare,false,,kleavor
base,074,Ultra Rare,false,,sneasler
base,075,Ultra Rare,false,,sneasler
base,076,Ultra Rare,false,,oranguru
base,077,Ultra Rare,false,,カイ
base,078,Ultra Rare,false,,ザクロ
base,079,Ultra Rare,false,,タイサイ
base,080,Holo Rare,false,,heatran
base,081,Holo Rare,false,,palkia
base,082,Holo Rare,false,,kleavor
base,083,Holo Rare,false,,カイ
base,084,Holo Rare,false,,ザクロ
base,085,Holo Rare,false,,タイサイ
base,086,Mega Hyper Rare,false,,palkia
base,087,Mega Hyper Rare,false,,シンオウ神殿
base,088,Mega Hyper Rare,false,,ダブルターボエネルギー
