category,cardNumber,parallel,isAuto,printRun,player
base,001,,false,,surskit
base,002,,false,,masquerain
base,003,,false,,combee
base,004,,false,,vespiquen
base,005,,false,,snover
base,006,,false,,abomasnow
base,007,,false,,bounsweet
base,008,,false,,steenee
base,009,,false,,tsareena
base,010,,false,,bramblin
base,011,,false,,bramblin
base,012,,false,,brambleghast
base,013,,false,,rellor
base,014,,false,,rellor
base,016,,false,,marill
base,017,,false,,azumarill
base,018,,false,,luvdisc
base,019,,false,,eiscue
base,020,,false,,cetoddle
base,021,,false,,cetoddle
base,022,,false,,cetitan
base,023,,false,,veluza
base,024,,false,,frigibax
base,025,,false,,frigibax
base,026,,false,,arctibax
base,027,,false,,baxcalibur
base,029,,false,,slowpoke
base,031,,false,,gothita
base,032,,false,,gothorita
base,033,,false,,gothitelle
base,034,,false,,mimikyu
base,035,,false,,sinistea
base,036,,false,,polteageist
base,037,,false,,rabsca
base,038,,false,,mankey
base,039,,false,,primeape
base,041,,false,,sudowoodo
base,042,,false,,glimmet
base,043,,false,,glimmet
base,044,,false,,glimmora
base,045,,false,,murkrow
base,046,,false,,honchkrow
base,047,,false,,maschiff
base,048,,false,,maschiff
base,049,,false,,mabosstiff
base,050,,false,,bronzor
base,051,,false,,bronzong
base,052,,false,,corviknight
base,053,,false,,cufant
base,055,,false,,orthworm
base,056,,false,,dunsparce
base,057,,false,,dudunsparce
base,058,,false,,wingull
base,059,,false,,pelipper
base,060,,false,,slakoth
base,061,,false,,vigoroth
base,062,,false,,slaking
base,063,,false,,rookidee
base,064,,false,,corvisquire
base,066,,false,,すごいつりざお
base,067,,false,,ファイトオレ
base,068,,false,,グルーシャ
base,069,,false,,ピーニャ
base,070,,false,,災いの雪山
base,071,,false,,リバーサルエネルギー
base,072,,false,,bramblin
base,073,,false,,marill
base,074,,false,,eiscue
base,075,,false,,frigibax
base,076,,false,,arctibax
base,077,,false,,baxcalibur
base,078,,false,,gothorita
base,079,,false,,rabsca
base,080,,false,,sudowoodo
base,081,,false,,orthworm
base,082,,false,,rookidee
base,083,,false,,dudunsparce
base,090,,false,,グルーシャ
base,091,,false,,ピーニャ
base,095,,false,,グルーシャ
base,096,,false,,ピーニャ
base,098,,false,,すごいつりざお
base,099,,false,,基本水エネルギー
