category,cardNumber,parallel,isAuto,printRun,player
base,001,,false,,exeggcute
base,002,,false,,morelull
base,003,,false,,shiinotic
base,004,,false,,dhelmise
base,005,,false,,zarude
base,006,,false,,castform
base,007,,false,,pansear
base,008,,false,,simisear
base,009,,false,,gouging-fire
base,010,,false,,cryogonal
base,012,,false,,bruxish
base,013,,false,,quaxly
base,014,,false,,quaxwell
base,015,,false,,quaquaval
base,016,,false,,cetoddle
base,017,,false,,cetitan
base,018,,false,,smoochum
base,020,,false,,latios
base,021,,false,,tapu-lele
base,022,,false,,flittle
base,023,,false,,espathra
base,024,,false,,gimmighoul
base,025,,false,,trapinch
base,026,,false,,vibrava
base,028,,false,,drilbur
base,029,,false,,excadrill
base,030,,false,,landorus
base,031,,false,,passimian
base,032,,false,,clobbopus
base,033,,false,,grapploct
base,034,,false,,skarmory
base,035,,false,,klefki
base,036,,false,,duraludon
base,038,,false,,gholdengo
base,039,,false,,iron-crown
base,041,,false,,altaria
base,042,,false,,dialga
base,043,,false,,palkia
base,044,,false,,turtonator
base,045,,false,,applin
base,046,,false,,flapple
base,047,,false,,appletun
base,048,,false,,swablu
base,049,,false,,rufflet
base,050,,false,,braviary
base,052,,false,,エネルギー転送PRO
base,053,,false,,おたすけベル
base,054,,false,,ダークボール
base,055,,false,,ぼうがいレター
base,056,,false,,メガトンブロアー
base,057,,false,,竜の秘薬
base,058,,false,,イトケのみ
base,059,,false,,カウンターゲイン
base,060,,false,,カキツバタ
base,061,,false,,サーファー
base,062,,false,,ドラセナ
base,063,,false,,ルチアのアピール
base,064,,false,,リッチエネルギー
base,065,,false,,exeggcute
base,066,,false,,shiinotic
base,067,,false,,castform
base,068,,false,,bruxish
base,069,,false,,cetitan
base,070,,false,,latios
base,071,,false,,vibrava
base,072,,false,,clobbopus
base,073,,false,,skarmory
base,074,,false,,flapple
base,075,,false,,appletun
base,076,,false,,braviary
base,083,,false,,カキツバタ
base,084,,false,,サーファー
base,085,,false,,ドラセナ
base,086,,false,,ルチアのアピール
base,090,,false,,カキツバタ
base,091,,false,,ルチアのアピール
base,093,,false,,カウンターゲイン
base,094,,false,,ジェットエネルギー
